"Mã sản phẩm","Tên sản phẩm","Nhóm sản phẩm","Mã biến thể","Tên biến thể","Mô tả","Kích cỡ","Độ dài","Kiểu ren","Hình dạng đầu","Kiểu khe vặn","Chất liệu"
"OBL-M5","Bulong M5","(O) Ốc, vít, bulong","OBL-M5x12-RM-T-PH-SS201","Bulong M5x12mm, Ren mịn, Đầu Nấm (Truss), Khe 4 cạnh (PH - Philips), Inox 201","Sử dụng lắp tai P01, P02, P03 vào khung/hộp","M5","12mm","mịn","Nấm (Truss)","4 cạnh (PH - Philips)","Inox 201"
"OBL-M5","Bulong M5","(O) Ốc, vít, bulong","OBL-M5x10-RM-P-H-SS201","Bulong M5x10mm, Ren mịn, Đầu Dù (Pan), Khe Lục giác chìm (H - Hex / Allen), Inox 201","Sử dụng ghép khung/hộp P01, P02, P03","M5","10mm","mịn","Dù (Pan)","Lục giác chìm (H - Hex / Allen)","Inox 201"
"OBL-M5","Bulong M5","(O) Ốc, vít, bulong","OBL-M5x10-RM-S-H-SS201","Bulong M5x10mm, Ren mịn, Đầu Trụ (SHCS), Khe Lục giác chìm (H - Hex / Allen), Inox 201","","M5","10mm","mịn","Trụ (SHCS)","Lục giác chìm (H - Hex / Allen)","Inox 201"
"OBL-M5","Bulong M5","(O) Ốc, vít, bulong","OBL-M5x12-RM-S-H-SS201","Bulong M5x12mm, Ren mịn, Đầu Trụ (SHCS), Khe Lục giác chìm (H - Hex / Allen), Inox 201","","M5","12mm","mịn","Trụ (SHCS)","Lục giác chìm (H - Hex / Allen)","Inox 201"
"OBL-M4","Bulong M4","(O) Ốc, vít, bulong","OBL-M4x10-RM-T-PH-SS201","Bulong M4x10mm, Ren mịn, Đầu Nấm (Truss), Khe 4 cạnh (PH - Philips), Inox 201","- Sử dụng ghép Module LED vào khung P03 (Mẫu cũ)
- Sử dụng để bắt cố định các loại nguồn","M4","10mm","mịn","Nấm (Truss)","4 cạnh (PH - Philips)","Inox 201"
"OBL-M4","Bulong M4","(O) Ốc, vít, bulong","OBL-M4x6-RM-T-PH-SS201","Bulong M4x6mm, Ren mịn, Đầu Nấm (Truss), Khe 4 cạnh (PH - Philips), Inox 201","Sử dụng bắt mặt đèn đường D12, D13, D14","M4","6mm","mịn","Nấm (Truss)","4 cạnh (PH - Philips)","Inox 201"
"OBL-M4","Bulong M4","(O) Ốc, vít, bulong","OBL-M4x6-RM-C-PH-SS201","Bulong M4x6mm, Ren mịn, Đầu Bằng (CSK), Khe 4 cạnh (PH - Philips), Inox 201","","M4","6mm","mịn","Bằng (CSK)","4 cạnh (PH - Philips)","Inox 201"
"OBL-M4","Bulong M4","(O) Ốc, vít, bulong","OBL-M4x8-RM-C-PH-SS201","Bulong M4x8mm, Ren mịn, Đầu Bằng (CSK), Khe 4 cạnh (PH - Philips), Inox 201","","M4","8mm","mịn","Bằng (CSK)","4 cạnh (PH - Philips)","Inox 201"
"OBL-M4","Bulong M4","(O) Ốc, vít, bulong","OBL-M4x6-RM-S-H-SS201","Bulong M4x6mm, Ren mịn, Đầu Trụ (SHCS), Khe Lục giác chìm (H - Hex / Allen), Inox 201","","M4","6mm","mịn","Trụ (SHCS)","Lục giác chìm (H - Hex / Allen)","Inox 201"
"OBL-M4","Bulong M4","(O) Ốc, vít, bulong","OBL-M4x8-RM-S-H-SS201","Bulong M4x8mm, Ren mịn, Đầu Trụ (SHCS), Khe Lục giác chìm (H - Hex / Allen), Inox 201","","M4","8mm","mịn","Trụ (SHCS)","Lục giác chìm (H - Hex / Allen)","Inox 201"
