"Mã sản phẩm","Phương pháp bổ sung","Tên sản phẩm","Nhóm sản phẩm","Mã biến thể","Tên biến thể","Mô tả","Công suất","Mạch","Loại LED","Số lượng LED","Chất liệu","Dài","Rộng","Dày","Gia công"
"PCB-CM","Mua hàng","PCB Chip Module","PCB","PCB-CM30S030-5C-30","PCB 30W Chip Module 3030 SMD - 30W (5C), LED 3030, 30LED","Sử dụng cho: Module SMD 10W, 20W, 30W (ALU-167x167x1,2mm) - 25µm Phủ thiếc","30","5C","3030","30","ALU","167","167","1,2","25µm Phủ thiếc"
"PCB-CM","Mua hàng","PCB Chip Module","PCB","PCB-CM30S050-5C-64","PCB 50W Chip Module 3030 SMD - 50W (5C), LED 3030, 64LED","Sử dụng cho: Module SMD 50W; Các mẫu sử dụng Chip Module SMD: D11, D12, D13, D14, D15 (ALU-222x240x1,2mm) - 25µm Phủ thiếc","50","5C","3030","64","ALU","222","240","1,2","25µm Phủ thiếc"
"PCB-CM","Mua hàng","PCB Chip Module","PCB","PCB-CM30S050-5C-50","PCB 50W Chip Module 3030 SMD - 50W (5C), LED 3030, 50LED","Sử dụng cho: Module SMD 50W; Các mẫu sử dụng Chip Module SMD: D11, D12, D13, D14, D15 (ALU-222x240x1,2mm) - 25µm Phủ thiếc","50","5C","3030","50","ALU","222","240","1,2","25µm Phủ thiếc"
"PCB-CM","Mua hàng","PCB Chip Module","PCB","PCB-CM30S050-7C-49","PCB 50W Chip Module 3030 SMD - 50W (7C), LED 3030, 49LED","Sử dụng cho: Module SMD 50W; Các mẫu sử dụng Chip Module SMD: D11, D12, D13, D14, D15 (ALU-222x240x1,2mm) - 25µm Phủ thiếc","50","7C","3030","49","ALU","222","240","1,2","25µm Phủ thiếc"
"PCB-CM","Mua hàng","PCB Chip Module","PCB","PCB-CM30S050-8C-64","PCB 50W Chip Module 3030 SMD - 50W (8C), LED 3030, 64LED","Sử dụng cho: Module SMD 50W; Các mẫu sử dụng Chip Module SMD: D11, D12, D13, D14, D15 (ALU-222x240x1,2mm) - 25µm Phủ thiếc","50","8C","3030","64","ALU","222","240","1,2","25µm Phủ thiếc"
"PCB-CM","Mua hàng","PCB Chip Module","PCB","PCB-CM50S050-5C-16","PCB 50W Chip Module 5050 SMD - 50W (5C), LED 5050, 16LED","Sử dụng cho: Module SMD 50W; Các mẫu sử dụng Chip Module SMD: D11, D12, D13, D14, D15 (ALU-222x240x1,2mm) - 25µm Phủ thiếc","50","5C","5050","16","ALU","222","240","1,2","25µm Phủ thiếc"
"PCB-CM","Mua hàng","PCB Chip Module","PCB","PCB-CM30S200-5C-288","PCB 200W Chip Module 3030 SMD - 200W (5C), LED 3030, 288LED","Sử dụng cho: Module SMD 200W (ALU-382x138x1,2mm) - 25µm Phủ thiếc","200","5C","3030","288","ALU","382","138","1,2","25µm Phủ thiếc"
"PCB-CM","Mua hàng","PCB Chip Module","PCB","PCB-CM50S200-5C-72","PCB 200W Chip Module 5050 SMD - 200W (5C), LED 5050, 72LED","Sử dụng cho: Module SMD 200W (ALU-382x138x1,2mm) - 25µm Phủ thiếc","200","5C","5050","72","ALU","382","138","1,2","25µm Phủ thiếc"
"PCB-COB","Mua hàng","PCB Chip COB","PCB","PCB-C30C010-5C-9","PCB 10W Chip COB 3030 - 10W (5C), LED 3030, 9LED","Sử dụng cho: Các mẫu sử dụng chip COB 10W: PTR, PXH (ALU-228,4x130x2mm) - 25µm Phủ thiếc","10","5C","3030","9","ALU","","130","2","25µm Phủ thiếc"
"PCB-COB","Mua hàng","PCB Chip COB","PCB","PCB-C30C030-5C-30","PCB 30W Chip COB 3030 - 30W (5C), LED 3030, 30LED","Sử dụng cho: Các mẫu sử dụng chip COB: PTC, PTR, PTV, PXH, PVL, PKD, XHB, NU1, DQL (ALU-228,4x130x2mm) - 25µm Phủ thiếc","30","5C","3030","30","ALU","","130","2","25µm Phủ thiếc"
"PCB-COB","Mua hàng","PCB Chip COB","PCB","PCB-C30C050-5C-49","PCB 50W Chip COB 3030 - 50W (5C), LED 3030, 49LED","Sử dụng cho: Các mẫu sử dụng chip COB: PTC, PTR, PTV, PXH, PVL, PKD, XHB, NU1, DQL (ALU-228,4x130x2mm) - 25µm Phủ thiếc","50","5C","3030","49","ALU","","130","2","25µm Phủ thiếc"
"PCB-COB","Mua hàng","PCB Chip COB","PCB","PCB-C30C050-5C-50","PCB 50W Chip COB 3030 - 50W (5C), LED 3030, 50LED","Sử dụng cho: Các mẫu sử dụng chip COB: PTC, PTR, PTV, PXH, PVL, PKD, XHB, NU1, DQL (ALU-228,4x130x2mm) - 25µm Phủ thiếc","50","5C","3030","50","ALU","","130","2","25µm Phủ thiếc"
"PCB-COB","Mua hàng","PCB Chip COB","PCB","PCB-C30C050-7C-49","PCB 50W Chip COB 3030 - 50W (7C), LED 3030, 49LED","Sử dụng cho: Các mẫu sử dụng chip COB: PTC, PTR, PTV, PXH, PVL, PKD, XHB, NU1, DQL (ALU-228,4x130x2mm) - 25µm Phủ thiếc","50","7C","3030","49","ALU","","130","2","25µm Phủ thiếc"
"PCB-COB","Mua hàng","PCB Chip COB","PCB","PCB-C50C100-5C-20","PCB 100W Chip COB 3030 - 100W (5C), LED 3030, 20LED","Sử dụng cho: Các mẫu sử dụng chip COB: PTC, PTR, PTV, PXH, PVL, PKD, XHB, NU1, DQL (ALU-228,4x130x2mm) - 25µm Phủ thiếc","100","5C","3030","20","ALU","","130","2","25µm Phủ thiếc"
"PCB-DD7X","Mua hàng","PCB Chip Đèn đường D7X","PCB","PCB-C30DD7XS050-5C-48","PCB 50W Chip đèn đường D7X SMD 3030 - 50W (5C), LED 3030, 48LED","Sử dụng cho: Đèn đường BRP371, BRP372, BRP373, BRP374 (ALU-220x50x1,2mm) - 25µm Phủ thiếc","50","5C","3030","48","ALU","220","50","1,2","25µm Phủ thiếc"
"PCB-DD7X","Mua hàng","PCB Chip Đèn đường D7X","PCB","PCB-C50DD7XS050-5C-16","PCB 50W Chip đèn đường D7X SMD 5050 - 50W (5C), LED 5050, 16LED","Sử dụng cho: Đèn đường BRP371, BRP372, BRP373, BRP374 (ALU-220x50x1,2mm) - 25µm Phủ thiếc","50","5C","5050","16","ALU","220","50","1,2","25µm Phủ thiếc"
"PCB-DD9X","Mua hàng","PCB Chip Đèn đường D9X","PCB","PCB-C30DD9XS100-5Cx2-100","PCB 100W Chip đèn đường D9X SMD 3030 - 100W (5Cx2), LED 3030, 100LED","Sử dụng cho: Đèn đường BRP391, BRP392, BRP394 (ALU-274x73x1,2mm) - 25µm Phủ thiếc","100","5Cx2","3030","100","ALU","274","73","1,2","25µm Phủ thiếc"
"PCB-DD20","Mua hàng","PCB Chip Đèn đường D20","PCB","PCB-C30DD20S050-5Cx2-96","PCB 50W Chip đèn đường D20 SMD 3030 - 50W (5Cx2), LED 3030, 96LED","Sử dụng cho: Đèn đường D20 (ALU-123x187x1,2mm) - 25µm Phủ thiếc","50","5Cx2","3030","96","ALU","123","187","1,2","25µm Phủ thiếc"
"PCB-DD20","Mua hàng","PCB Chip Đèn đường D20","PCB","PCB-C50DD20S050-5Cx2-24","PCB 50W Chip đèn đường D20 SMD 5050 - 50W (5Cx2), LED 5050, 24LED","Sử dụng cho: Đèn đường D20 (ALU-123x187x1,2mm) - 25µm Phủ thiếc","50","5Cx2","5050","24","ALU","123","187","1,2","25µm Phủ thiếc"
"PCB-DD20","Mua hàng","PCB Chip Đèn đường D20","PCB","PCB-C30DD20S100-5Cx3-128","PCB 100W Chip đèn đường D20 SMD 3030 - 100W (5Cx3), LED 3030, 128LED","Sử dụng cho: Đèn đường D20 (ALU-128x240x1,2mm) - 25µm Phủ thiếc","100","5Cx3","3030","128","ALU","128","240","1,2","25µm Phủ thiếc"
"PCB-DD20","Mua hàng","PCB Chip Đèn đường D20","PCB","PCB-C50DD20S100-5Cx3-32","PCB 100W Chip đèn đường D20 SMD 5050 - 100W (5Cx3), LED 5050, 32LED","Sử dụng cho: Đèn đường D20 (ALU-128x240x1,2mm) - 25µm Phủ thiếc","100","5Cx3","5050","32","ALU","128","240","1,2","25µm Phủ thiếc"
"PCB-DD20","Mua hàng","PCB Chip Đèn đường D20","PCB","PCB-C30DD20S150-5Cx4-240","PCB 150W Chip đèn đường D20 SMD 3030 - 150W (5Cx4), LED 3030, 240LED","Sử dụng cho: Đèn đường D20 (ALU-182x294x1,2mm) - 25µm Phủ thiếc","150","5Cx4","3030","240","ALU","182","294","1,2","25µm Phủ thiếc"
"PCB-DD20","Mua hàng","PCB Chip Đèn đường D20","PCB","PCB-C50DD20S150-5Cx4-60","PCB 150W Chip đèn đường D20 SMD 5050 - 150W (5Cx4), LED 5050, 60LED","Sử dụng cho: Đèn đường D20 (ALU-182x294x1,2mm) - 25µm Phủ thiếc","150","5Cx4","5050","60","ALU","182","294","1,2","25µm Phủ thiếc"
"PCB-DD20","Mua hàng","PCB Chip Đèn đường D20","PCB","PCB-C30DD20S200-5Cx5-320","PCB 200W Chip đèn đường D20 SMD 3030 - 200W (5Cx5), LED 3030, 320LED","Sử dụng cho: Đèn đường D20 (ALU-250x395x1,2mm) - 25µm Phủ thiếc","200","5Cx5","3030","320","ALU","250","395","1,2","25µm Phủ thiếc"
"PCB-DD20","Mua hàng","PCB Chip Đèn đường D20","PCB","PCB-C50DD20S200-5Cx5-80","PCB 200W Chip đèn đường D20 SMD 5050 - 200W (5Cx5), LED 5050, 80LED","Sử dụng cho: Đèn đường D20 (ALU-250x395x1,2mm) - 25µm Phủ thiếc","200","5Cx5","5050","80","ALU","250","395","1,2","25µm Phủ thiếc"
"PCB-DD20","Mua hàng","PCB Chip Đèn đường D20","PCB","PCB-C30DD20S250-5Cx5-320","PCB 250W Chip đèn đường D20 SMD 3030 - 250W (5Cx5), LED 3030, 320LED","Sử dụng cho: Đèn đường D20 (ALU-250x395x1,2mm) - 25µm Phủ thiếc","250","5Cx5","3030","320","ALU","250","395","1,2","25µm Phủ thiếc"
"PCB-DD20","Mua hàng","PCB Chip Đèn đường D20","PCB","PCB-C50DD20S250-5Cx5-80","PCB 250W Chip đèn đường D20 SMD 5050 - 250W (5Cx5), LED 5050, 80LED","Sử dụng cho: Đèn đường D20 (ALU-250x395x1,2mm) - 25µm Phủ thiếc","250","5Cx5","5050","80","ALU","250","395","1,2","25µm Phủ thiếc"
"PCB-DD2X","Mua hàng","PCB Chip Đèn đường D2X","PCB","PCB-C30DD2XS050-5Cx2-96","PCB 50W Chip đèn đường D2X SMD 3030 - 50W (5Cx2), LED 3030, 96LED","Sử dụng cho: Đèn đường D22, D23, D25, D26 (ALU-150x187x1,2mm) - 25µm Phủ thiếc","50","5Cx2","3030","96","ALU","150","187","1,2","25µm Phủ thiếc"
"PCB-DD2X","Mua hàng","PCB Chip Đèn đường D2X","PCB","PCB-C50DD2XS050-5Cx2-24","PCB 50W Chip đèn đường D2X SMD 5050 - 50W (5Cx2), LED 5050, 24LED","Sử dụng cho: Đèn đường D22, D23, D25, D26 (ALU-150x187x1,2mm) - 25µm Phủ thiếc","50","5Cx2","5050","24","ALU","150","187","1,2","25µm Phủ thiếc"
"PCB-DD2X","Mua hàng","PCB Chip Đèn đường D2X","PCB","PCB-C30DD2XS100-5Cx3-144","PCB 100W Chip đèn đường D2X SMD 3030 - 100W (5Cx3), LED 3030, 144LED","Sử dụng cho: Đèn đường D22, D23, D25, D26 (ALU-168x165x1,2mm) - 25µm Phủ thiếc","100","5Cx3","3030","144","ALU","168","165","1,2","25µm Phủ thiếc"
"PCB-DD2X","Mua hàng","PCB Chip Đèn đường D2X","PCB","PCB-C50DD2XS100-5Cx3-36","PCB 100W Chip đèn đường D2X SMD 5050 - 100W (5Cx3), LED 5050, 36LED","Sử dụng cho: Đèn đường D22, D23, D25, D26 (ALU-168x165x1,2mm) - 25µm Phủ thiếc","100","5Cx3","5050","36","ALU","168","165","1,2","25µm Phủ thiếc"
"PCB-DD2X","Mua hàng","PCB Chip Đèn đường D2X","PCB","PCB-C30DD2XS150-5Cx4-240","PCB 150W Chip đèn đường D2X SMD 3030 - 150W (5Cx4), LED 3030, 240LED","Sử dụng cho: Đèn đường D22, D23, D25, D26 (ALU-176x266x1,2mm) - 25µm Phủ thiếc","150","5Cx4","3030","240","ALU","176","266","1,2","25µm Phủ thiếc"
"PCB-DD2X","Mua hàng","PCB Chip Đèn đường D2X","PCB","PCB-C50DD2XS150-5Cx4-60","PCB 150W Chip đèn đường D2X SMD 5050 - 150W (5Cx4), LED 5050, 60LED","Sử dụng cho: Đèn đường D22, D23, D25, D26 (ALU-176x266x1,2mm) - 25µm Phủ thiếc","150","5Cx4","5050","60","ALU","176","266","1,2","25µm Phủ thiếc"
"PCB-DD2X","Mua hàng","PCB Chip Đèn đường D2X","PCB","PCB-C30DD2XS200-5Cx5-300","PCB 200W Chip đèn đường D2X SMD 3030 - 200W (5Cx5), LED 3030, 300LED","Sử dụng cho: Đèn đường D22, D23, D25, D26 (ALU-228x295x1,2mm) - 25µm Phủ thiếc","200","5Cx5","3030","300","ALU","228","295","1,2","25µm Phủ thiếc"
