"Mã sản phẩm","Phương pháp bổ sung","Tên sản phẩm","Nhóm sản phẩm","Mã biến thể","Tên biến thể","Màu ánh sáng","Công suất","Điện áp","Dòng điện","Quang thông","Hiệu suất phát quang","Chỉ số hoàn màu"
"LED-EMC3030","Mua hàng","Hạt LED EMC 3030","LED","EMC3030UWF2C-D160-VN","EMC - LED 3030-EMC-1W/6V-150mA, 135-145lm/W; Ra80  | Trắng (6.000K - 6.500K)","Trắng (6.000K - 6.500K)","1W","6V","150mA","135-145lm","135-145lm/W","Ra80"
"LED-EMC3030","Mua hàng","Hạt LED EMC 3030","LED","EMC3030UZF2C-D160-VN","EMC - LED 3030-EMC-1W/6V-150mA, 135-145lm/W; Ra80  | Trắng (5.000K)","Trắng (5.000K)","1W","6V","150mA","135-145lm","135-145lm/W","Ra80"
"LED-EMC3030","Mua hàng","Hạt LED EMC 3030","LED","EMC3030UNF2C-D160-VN","EMC - LED 3030-EMC-1W/6V-150mA, 135-145lm/W; Ra80  | Trung tính (4.000K - 4.200K)","Trung tính (4.000K - 4.200K)","1W","6V","150mA","135-145lm","135-145lm/W","Ra80"
"LED-EMC3030","Mua hàng","Hạt LED EMC 3030","LED","EMC3030USF2C-D160-VN","EMC - LED 3030-EMC-1W/6V-150mA, 135-145lm/W; Ra80  | Vàng (3.000K - 3.200K)","Vàng (3.000K - 3.200K)","1W","6V","150mA","135-145lm","135-145lm/W","Ra80"
"LED-EMC5050","Mua hàng","Hạt LED EMC 5050","LED","EMC5050UWY2C4B-G330-VN","EMC - LED EMC 5050 6V 2W/6V/300mA/300-330LM .Ra70 1936*8 | Trắng (6.000K - 6.500K)","Trắng (6.000K - 6.500K)","2W","6V","300mA","300-330lm","150-165lm/W","Ra70"
"LED-EMC5050","Mua hàng","Hạt LED EMC 5050","LED","EMC5050UZY2C4B-G330-VN","EMC - LED EMC 5050 6V 2W/6V/300mA/300-330LM .Ra70 1936*8 | Trắng (5.000K)","Trắng (5.000K)","2W","6V","300mA","300-330lm","150-165lm/W","Ra70"
"LED-EMC5050","Mua hàng","Hạt LED EMC 5050","LED","EMC5050UNY2C4B-G330-VN","EMC - LED EMC 5050 6V 2W/6V/300mA/300-330LM .Ra70 1936*8 | Trung tính (4.000K - 4.200K)","Trung tính (4.000K - 4.200K)","2W","6V","300mA","300-330lm","150-165lm/W","Ra70"
"LED-EMC5050","Mua hàng","Hạt LED EMC 5050","LED","EMC5050USY2C4B-G330-VN","EMC - LED EMC 5050 6V 2W/6V/300mA/300-330LM .Ra70 1936*8 | Vàng (3.000K - 3.200K)","Vàng (3.000K - 3.200K)","2W","6V","300mA","300-330lm","150-165lm/W","Ra70"
"LED-EMC7070","Mua hàng","Hạt LED EMC 7070","LED","EMC7070UWY18C-H900-VN","EMC - LED EMC 7070 54V 5W/54V/100mA /800-900LM ,Ra90 2235*18 | Trắng (6.000K - 6.500K)","Trắng (6.000K - 6.500K)","5W","54V","100mA","800-900lm","160-180lm/W","Ra90"
"LED-EMC7070","Mua hàng","Hạt LED EMC 7070","LED","EMC7070UZY18C-H900-VN","EMC - LED EMC 7070 54V 5W/54V/100mA /800-900LM ,Ra90 2235*18 | Trắng (5.000K)","Trắng (5.000K)","5W","54V","100mA","800-900lm","160-180lm/W","Ra90"
"LED-EMC7070","Mua hàng","Hạt LED EMC 7070","LED","EMC7070UNY18C-H900-VN","EMC - LED EMC 7070 54V 5W/54V/100mA /800-900LM ,Ra90 2235*18 | Trung tính (4.000K - 4.200K)","Trung tính (4.000K - 4.200K)","5W","54V","100mA","800-900lm","160-180lm/W","Ra90"
