"Mã sản phẩm","Tên sản phẩm","Nhóm sản phẩm","Mã biến thể","Tên biến thể","Màu ánh sáng","Loại LED","Công suất","Mạch","Điện áp","Kích thước LED","Số lượng LED"
"CM30S030","Chip Module SMD 30W LED 3030 - Sử dụng: Module SMD 10W, 20W, 30W","Chip LED Module","CM30S030-6P3-5C-30LED","Chip Module SMD 30W LED 3030 - Sử dụng: Module SMD 10W, 20W, 30W | Trắng (6.000K - 6.500K), Lumileds 3030, 30W, 5C, 30VDC, 30LED","Trắng (6.000K - 6.500K)","Lumileds 3030","30","5C","30VDC","3030","30"
"CM30S030","Chip Module SMD 30W LED 3030 - Sử dụng: Module SMD 10W, 20W, 30W","Chip LED Module","CM30S030-5P3-5C-30LED","Chip Module SMD 30W LED 3030 - Sử dụng: Module SMD 10W, 20W, 30W | Trắng (5.000K), Lumileds 3030, 30W, 5C, 30VDC, 30LED","Trắng (5.000K)","Lumileds 3030","30","5C","30VDC","3030","30"
"CM30S030","Chip Module SMD 30W LED 3030 - Sử dụng: Module SMD 10W, 20W, 30W","Chip LED Module","CM30S030-4P3-5C-30LED","Chip Module SMD 30W LED 3030 - Sử dụng: Module SMD 10W, 20W, 30W | Trung tính (4.000K - 4.200K), Lumileds 3030, 30W, 5C, 30VDC, 30LED","Trung tính (4.000K - 4.200K)","Lumileds 3030","30","5C","30VDC","3030","30"
"CM30S030","Chip Module SMD 30W LED 3030 - Sử dụng: Module SMD 10W, 20W, 30W","Chip LED Module","CM30S030-3P3-5C-30LED","Chip Module SMD 30W LED 3030 - Sử dụng: Module SMD 10W, 20W, 30W | Vàng (3.000K - 3.200K), Lumileds 3030, 30W, 5C, 30VDC, 30LED","Vàng (3.000K - 3.200K)","Lumileds 3030","30","5C","30VDC","3030","30"
"CM30S030","Chip Module SMD 30W LED 3030 - Sử dụng: Module SMD 10W, 20W, 30W","Chip LED Module","CM30S030-6B3-5C-30LED","Chip Module SMD 30W LED 3030 - Sử dụng: Module SMD 10W, 20W, 30W | Trắng (6.000K - 6.500K), Bridgelux 3030, 30W, 5C, 30VDC, 30LED","Trắng (6.000K - 6.500K)","Bridgelux 3030","30","5C","30VDC","3030","30"
"CM30S030","Chip Module SMD 30W LED 3030 - Sử dụng: Module SMD 10W, 20W, 30W","Chip LED Module","CM30S030-5B3-5C-30LED","Chip Module SMD 30W LED 3030 - Sử dụng: Module SMD 10W, 20W, 30W | Trắng (5.000K), Bridgelux 3030, 30W, 5C, 30VDC, 30LED","Trắng (5.000K)","Bridgelux 3030","30","5C","30VDC","3030","30"
"CM30S030","Chip Module SMD 30W LED 3030 - Sử dụng: Module SMD 10W, 20W, 30W","Chip LED Module","CM30S030-4B3-5C-30LED","Chip Module SMD 30W LED 3030 - Sử dụng: Module SMD 10W, 20W, 30W | Trung tính (4.000K - 4.200K), Bridgelux 3030, 30W, 5C, 30VDC, 30LED","Trung tính (4.000K - 4.200K)","Bridgelux 3030","30","5C","30VDC","3030","30"
"CM30S030","Chip Module SMD 30W LED 3030 - Sử dụng: Module SMD 10W, 20W, 30W","Chip LED Module","CM30S030-3B3-5C-30LED","Chip Module SMD 30W LED 3030 - Sử dụng: Module SMD 10W, 20W, 30W | Vàng (3.000K - 3.200K), Bridgelux 3030, 30W, 5C, 30VDC, 30LED","Vàng (3.000K - 3.200K)","Bridgelux 3030","30","5C","30VDC","3030","30"
"CM30S050","Chip Module SMD 50W LED 3030 - Sử dụng: Module SMD 50W; D11-15","Chip LED Module","CM30S050-6P3-5C-64LED","Chip Module SMD 50W LED 3030 - Sử dụng: Module SMD 50W; D11-15 | Trắng (6.000K - 6.500K), Lumileds 3030, 50W, 5C, 30VDC, 64LED","Trắng (6.000K - 6.500K)","Lumileds 3030","50","5C","30VDC","3030","64"
"CM30S050","Chip Module SMD 50W LED 3030 - Sử dụng: Module SMD 50W; D11-15","Chip LED Module","CM30S050-5P3-5C-64LED","Chip Module SMD 50W LED 3030 - Sử dụng: Module SMD 50W; D11-15 | Trắng (5.000K), Lumileds 3030, 50W, 5C, 30VDC, 64LED","Trắng (5.000K)","Lumileds 3030","50","5C","30VDC","3030","64"
