"Mã sản phẩm","Tên sản phẩm","Nhóm sản phẩm","Phương pháp bổ sung","Mã biến thể","Tên biến thể","Đơn vị tính","Màu ánh sáng","Loại LED","Công suất","Mạch","Điện áp","Số lượng LED","Loại tản nhiệt","Kiểu đấu"
"M30S030","Module SMD 30W LED 3030 - Sử dụng: P02 10W, 20W, 30W","(M) Module","Sản xuất","M30S030-6P3-5C-30LED-DD-A","Module SMD 30W LED 3030 - Sử dụng: P02 10W, 20W, 30W | Trắng (6.000K - 6.500K), Lumileds 3030, 5C, 30VDC, 30LED | Dây điện","Cái","Trắng (6.000K - 6.500K)","Lumileds 3030","30","5C","30VDC","30","Nhôm đùn trắng","Dây điện"
"M30S030","Module SMD 30W LED 3030 - Sử dụng: P02 10W, 20W, 30W","(M) Module","Sản xuất","M30S030-5P3-5C-30LED-DD-A","Module SMD 30W LED 3030 - Sử dụng: P02 10W, 20W, 30W | Trắng (5.000K), Lumileds 3030, 5C, 30VDC, 30LED | Dây điện","Cái","Trắng (5.000K)","Lumileds 3030","30","5C","30VDC","30","Nhôm đùn trắng","Dây điện"
"M30S030","Module SMD 30W LED 3030 - Sử dụng: P02 10W, 20W, 30W","(M) Module","Sản xuất","M30S030-4P3-5C-30LED-DD-A","Module SMD 30W LED 3030 - Sử dụng: P02 10W, 20W, 30W | Trung tính (4.000K - 4.200K), Lumileds 3030, 5C, 30VDC, 30LED | Dây điện","Cái","Trung tính (4.000K - 4.200K)","Lumileds 3030","30","5C","30VDC","30","Nhôm đùn trắng","Dây điện"
"M30S030","Module SMD 30W LED 3030 - Sử dụng: P02 10W, 20W, 30W","(M) Module","Sản xuất","M30S030-3P3-5C-30LED-DD-A","Module SMD 30W LED 3030 - Sử dụng: P02 10W, 20W, 30W | Vàng (3.000K - 3.200K), Lumileds 3030, 5C, 30VDC, 30LED | Dây điện","Cái","Vàng (3.000K - 3.200K)","Lumileds 3030","30","5C","30VDC","30","Nhôm đùn trắng","Dây điện"
"M30S030","Module SMD 30W LED 3030 - Sử dụng: P02 10W, 20W, 30W","(M) Module","Sản xuất","M30S030-6B3-5C-30LED-DD-A","Module SMD 30W LED 3030 - Sử dụng: P02 10W, 20W, 30W | Trắng (6.000K - 6.500K), Bridgelux 3030, 5C, 30VDC, 30LED | Dây điện","Cái","Trắng (6.000K - 6.500K)","Bridgelux 3030","30","5C","30VDC","30","Nhôm đùn trắng","Dây điện"
"M30S030","Module SMD 30W LED 3030 - Sử dụng: P02 10W, 20W, 30W","(M) Module","Sản xuất","M30S030-5B3-5C-30LED-DD-A","Module SMD 30W LED 3030 - Sử dụng: P02 10W, 20W, 30W | Trắng (5.000K), Bridgelux 3030, 5C, 30VDC, 30LED | Dây điện","Cái","Trắng (5.000K)","Bridgelux 3030","30","5C","30VDC","30","Nhôm đùn trắng","Dây điện"
"M30S030","Module SMD 30W LED 3030 - Sử dụng: P02 10W, 20W, 30W","(M) Module","Sản xuất","M30S030-4B3-5C-30LED-DD-A","Module SMD 30W LED 3030 - Sử dụng: P02 10W, 20W, 30W | Trung tính (4.000K - 4.200K), Bridgelux 3030, 5C, 30VDC, 30LED | Dây điện","Cái","Trung tính (4.000K - 4.200K)","Bridgelux 3030","30","5C","30VDC","30","Nhôm đùn trắng","Dây điện"
"M30S030","Module SMD 30W LED 3030 - Sử dụng: P02 10W, 20W, 30W","(M) Module","Sản xuất","M30S030-3B3-5C-30LED-DD-A","Module SMD 30W LED 3030 - Sử dụng: P02 10W, 20W, 30W | Vàng (3.000K - 3.200K), Bridgelux 3030, 5C, 30VDC, 30LED | Dây điện","Cái","Vàng (3.000K - 3.200K)","Bridgelux 3030","30","5C","30VDC","30","Nhôm đùn trắng","Dây điện"
"M30S050-A","Module SMD 50W LED 3030 (Mẫu A) - Sử dụng: P01-03; D01-06; NCX","(M) Module","Sản xuất","M30S050-6P3-5C-64LED-CD-A","Module SMD 50W LED 3030 (Mẫu A) - Sử dụng: P01-03; D01-06; NCX | Trắng (6.000K - 6.500K), Lumileds 3030, 5C, 30VDC, 64LED | Cầu đấu","Cái","Trắng (6.000K - 6.500K)","Lumileds 3030","50","5C","30VDC","64","Nhôm đùn trắng","Cầu đấu"
"M30S050-A","Module SMD 50W LED 3030 (Mẫu A) - Sử dụng: P01-03; D01-06; NCX","(M) Module","Sản xuất","M30S050-5P3-5C-64LED-CD-A","Module SMD 50W LED 3030 (Mẫu A) - Sử dụng: P01-03; D01-06; NCX | Trắng (5.000K), Lumileds 3030, 5C, 30VDC, 64LED | Cầu đấu","Cái","Trắng (5.000K)","Lumileds 3030","50","5C","30VDC","64","Nhôm đùn trắng","Cầu đấu"
