"Mã sản phẩm","Tên sản phẩm","Nhóm sản phẩm","Mã biến thể","Tên biến thể","Công suất","Màu sơn","Version","Phân loại vỏ"
"VDP02","Vỏ đèn pha module khung hộp P02 Công suất 30W - Dùng chung P02 (SMD/COB) và P04 (COB)","(V) Vỏ đèn","VDP02-030-D-WH-v2.1","Vỏ đèn pha module khung hộp P02 Công suất 30W - Dùng chung P02 (SMD/COB) và P04 (COB) | Trắng, v2.1, Dọc","30","Trắng","v2.1","Dọc"
"VDP02","Vỏ đèn pha module khung hộp P02 Công suất 50W - Dùng chung P02 (SMD/COB) và P04 (COB)","(V) Vỏ đèn","VDP02-050-D-WH-v2.1","Vỏ đèn pha module khung hộp P02 Công suất 50W - Dùng chung P02 (SMD/COB) và P04 (COB) | Trắng, v2.1, Dọc","50","Trắng","v2.1","Dọc"
"VDP02","Vỏ đèn pha module khung hộp P02 Công suất 100W - Dùng chung P02 (SMD/COB) và P04 (COB)","(V) Vỏ đèn","VDP02-100-D-WH-v2.1","Vỏ đèn pha module khung hộp P02 Công suất 100W - Dùng chung P02 (SMD/COB) và P04 (COB) | Trắng, v2.1, Dọc","100","Trắng","v2.1","Dọc"
"VDP02","Vỏ đèn pha module khung hộp P02 Công suất 100W - Dùng chung P02 (SMD/COB) và P04 (COB) (Lắp ngang)","(V) Vỏ đèn","VDP02-100-N-WH-v2.1","Vỏ đèn pha module khung hộp P02 Công suất 100W - Dùng chung P02 (SMD/COB) và P04 (COB) (Lắp ngang) | Trắng, v2.1, Ngang","100","Trắng","v2.1","Ngang"
"VDP02","Vỏ đèn pha module khung hộp P02 Công suất 150W - Dùng chung P02 (SMD/COB) và P04 (COB)","(V) Vỏ đèn","VDP02-150-D-WH-v2.1","Vỏ đèn pha module khung hộp P02 Công suất 150W - Dùng chung P02 (SMD/COB) và P04 (COB) | Trắng, v2.1, Dọc","150","Trắng","v2.1","Dọc"
"VDP02","Vỏ đèn pha module khung hộp P02 Công suất 200W - Dùng chung P02 (SMD/COB) và P04 (COB)","(V) Vỏ đèn","VDP02-200-D-WH-v2.1","Vỏ đèn pha module khung hộp P02 Công suất 200W - Dùng chung P02 (SMD/COB) và P04 (COB) | Trắng, v2.1, Dọc","200","Trắng","v2.1","Dọc"
"VDP02","Vỏ đèn pha module khung hộp P02 Công suất 200W - Dùng chung P02 (SMD/COB) và P04 (COB) (Lắp ngang)","(V) Vỏ đèn","VDP02-200-N-WH-v2.1","Vỏ đèn pha module khung hộp P02 Công suất 200W - Dùng chung P02 (SMD/COB) và P04 (COB) (Lắp ngang) | Trắng, v2.1, Ngang","200","Trắng","v2.1","Ngang"
"VDP02","Vỏ đèn pha module khung hộp P02 Công suất 250W - Dùng chung P02 (SMD/COB) và P04 (COB)","(V) Vỏ đèn","VDP02-250-D-WH-v2.1","Vỏ đèn pha module khung hộp P02 Công suất 250W - Dùng chung P02 (SMD/COB) và P04 (COB) | Trắng, v2.1, Dọc","250","Trắng","v2.1","Dọc"
"VDP02","Vỏ đèn pha module khung hộp P02 Công suất 300W - Dùng chung P02 (SMD/COB) và P04 (COB)","(V) Vỏ đèn","VDP02-300-D-WH-v2.1","Vỏ đèn pha module khung hộp P02 Công suất 300W - Dùng chung P02 (SMD/COB) và P04 (COB) | Trắng, v2.1, Dọc","300","Trắng","v2.1","Dọc"
"VDP02","Vỏ đèn pha module khung hộp P02 Công suất 300W - Dùng chung P02 (SMD/COB) và P04 (COB) (Lắp ngang)","(V) Vỏ đèn","VDP02-300-N-WH-v2.1","Vỏ đèn pha module khung hộp P02 Công suất 300W - Dùng chung P02 (SMD/COB) và P04 (COB) (Lắp ngang) | Trắng, v2.1, Ngang","300","Trắng","v2.1","Ngang"
