"Mã sản phẩm","Tên sản phẩm","Nhóm sản phẩm","Mã biến thể","Tên biến thể","Mô tả","Model","Công suất","Điện áp vào","Điện áp ra","Tương thích chip LED","Dimming","Tính năng","Xuất xứ"
"NHK","Nguồn HKLED","Nguồn HKLED","NHK-12W350","Nguồn HKLED 10W - Model: NHK-12W350 | Không (Input: AC 220V / Output: DC 21-40V)","NGUỒN ĐIỆN ĐÈN LED 12W
Model: NHK-12W350
- Điện áp vào: 100-277V
- Điện áp ra: 21-40V
- Dòng điện ra: 350mA
- Chống sét tích hợp: 1.5Kv
- Kích thước sản phẩm: 72*30*20m - 70g
- Quy cách: 170 cái/hộp, - Cân nặng: 13600g
- Kích thước hộp: 33.5*24.5*24cm","NHK-12W350","10","AC 220V","DC 30V","5C","Không","","China"
"NHK","Nguồn HKLED","Nguồn HKLED","NHK-20W600","Nguồn HKLED 20W - Model: NHK-20W600 | Không (Input: AC 220V / Output: DC 20-36V)","NGUỒN ĐIỆN ĐÈN LED 20W
Model: NHK-20W600
- Điện áp vào: 100-277V
- Điện áp ra: 20-36V
- Dòng điện ra: 600mA
- Chống sét tích hợp: 2.0Kv
- Kích thước sản phẩm: 90*30*20m - 90g
- Quy cách: 170 cái/hộp, - Cân nặng: 13600g
- Kích thước hộp: 33.5*22*21cm","NHK-20W600","20","AC 220V","DC 30V","5C","Không","","China"
"NHK","Nguồn HKLED","Nguồn HKLED","NHK-30W900","Nguồn HKLED 30W - Model: NHK-30W900 | Không (Input: AC 220V / Output: DC 20-36V)","NGUỒN ĐIỆN ĐÈN LED 30W
Model: NHK-30W900
- Điện áp vào: 100-277V
- Điện áp ra: 20-36V
- Dòng điện ra: 900mA
- Chống sét tích hợp: 2.0Kv
- Kích thước sản phẩm: 98*32*24m - 140g
- Quy cách: 70 cái/hộp, - Cân nặng: 10430g
- Kích thước hộp: 33.5*22*21cm","NHK-30W900","30","AC 220V","DC 30V","5C","Không","","China"
"NHK","Nguồn HKLED","Nguồn HKLED","NHK-50W1A35","Nguồn HKLED 50W - Model: NHK-50W1A35 | Không (Input: AC 220V / Output: DC 22-38V)","NGUỒN ĐIỆN ĐÈN LED 50W
Model: NHK-50W1A35
- Điện áp vào: 100-277V
- Điện áp ra: 22-38V
- Dòng điện ra: 1350mA
- Chống sét tích hợp: 2.0Kv
- Kích thước sản phẩm: 103*37*24m - 150g
- Quy cách: 70 cái/hộp, - Cân nặng: 11600g
- Kích thước hộp: 33.5*22*21cm","NHK-50W1A35","50","AC 220V","DC 30V","5C","Không","","China"
"NHK","Nguồn HKLED","Nguồn HKLED","NHKP-050E","Nguồn HKLED 50W - Model: NHKP-050E | Dim 1 Cấp (Input: AC 220V / Output: DC 20-38V)","NGUỒN ĐIỆN ĐÈN LED 50W
Model: NHKP-050E
- Điện áp vào: 100-277V
- Điện áp ra: 20-38V
- Dòng điện ra:  900 - 1500mA ±5%
- Chống sét tích hợp: 2.0Kv
- Kích thước sản phẩm: 115*52*31mm - 310g
- Quy cách: 50 cái/hộp, - Cân nặng: 15400g
- Kích thước hộp: 33.5*24.5*24cm","NHKP-050E","50","AC 220V","DC 30V","5C","Dim 1 Cấp","","China"
"NHK","Nguồn HKLED","Nguồn HKLED","NHKP-100E","Nguồn HKLED 100W - Model: NHKP-100E | Dim 1 Cấp (Input: AC 220V / Output: DC 20-38V)","NGUỒN ĐIỆN ĐÈN LED 100W
Model: NHKP-100E
- Điện áp vào: 100-277V
- Điện áp ra: 20-38V
- Dòng điện ra: 2000 - 3000mA ±5%
- Chống sét tích hợp: 6.0Kv
- Kích thước sản phẩm: 132*57*37mm - 440g
- Quy cách: 36 cái/hộp, - Cân nặng: 14100g
- Kích thước hộp: 33.5*24.5*24cm","NHKP-100E","100","AC 220V","DC 30V","5C","Dim 1 Cấp","","China"
"NHK","Nguồn HKLED","Nguồn HKLED","NHKP-150E","Nguồn HKLED 150W - Model: NHKP-150E | Dim 1 Cấp (Input: AC 220V / Output: DC 20-38V)","NGUỒN ĐIỆN ĐÈN LED 150W
Model: NHKP-150E
- Điện áp vào: 100-277V
- Điện áp ra: 20-38V
- Dòng điện ra: 2700 - 4600mA ±5%
- Chống sét tích hợp: 6.0Kv
- Kích thước sản phẩm: 160*68*37mm - 660g
- Quy cách: 25 cái/hộp, - Cân nặng: 16700g
- Kích thước hộp: 33.5*24.5*24cm","NHKP-150E","150","AC 220V","DC 30V","5C","Dim 1 Cấp","","China"
"NHK","Nguồn HKLED","Nguồn HKLED","NHKP-200E","Nguồn HKLED 200W - Model: NHKP-200E | Dim 1 Cấp (Input: AC 220V / Output: DC 20-38V)","NGUỒN ĐIỆN ĐÈN LED 200W
Model: NHKP-200E
- Điện áp vào: 100-277V
- Điện áp ra: 20-38V
- Dòng điện ra: 4000 - 6000mA ±5%
- Chống sét tích hợp: 6.0Kv
- Kích thước sản phẩm: 185*68*37mm - 750g
- Quy cách: 25 cái/hộp, - Cân nặng: 19100g
- Kích thước hộp: 33.5*24.5*24cm","NHKP-200E","200","AC 220V","DC 30V","5C","Dim 1 Cấp","","China"
"NHK","Nguồn HKLED","Nguồn HKLED","NHKP-240E","Nguồn HKLED 250W - Model: NHKP-240E | Dim 1 Cấp (Input: AC 220V / Output: DC 20-38V)","NGUỒN ĐIỆN ĐÈN LED 240W
Model: NHKP-240E
- Điện áp vào: 100-277V
- Điện áp ra: 20-38V
- Dòng điện ra: 4500 - 7200mA ±5%
- Chống sét tích hợp: 6.0Kv
- Kích thước SP: 185*68*37mm - 750g
- Quy cách: 15 cái/hộp, - Cân nặng: 14900g
- Kích thước hộp: 33.5*24.5*24cm","NHKP-240E","250","AC 220V","DC 30V","5C","Dim 1 Cấp","","China"
"NHK","Nguồn HKLED","Nguồn HKLED","NHKP-300E","Nguồn HKLED 300W - Model: NHKP-300E | Dim 1 Cấp (Input: AC 220V / Output: DC 20-38V)","NGUỒN ĐIỆN ĐÈN LED 300W
Model: NHKP-300E
- Điện áp vào: 100-277V
- Điện áp ra: 20-38V
- Dòng điện ra: 6000 - 9000mA ±5%
- Chống sét tích hợp: 6.0Kv
- Kích thước SP: 231*76*38mm - 750g
- Quy cách: 15 cái/hộp, - Cân nặng: 14900g
- Kích thước hộp: 33.5*24.5*24cm","NHKP-300E","300","AC 220V","DC 30V","5C","Dim 1 Cấp","","China"
