"Mã sản phẩm","Tên sản phẩm","Nhóm sản phẩm","Mã biến thể","Tên biến thể","Model","Điện áp bảo vệ","Dòng xả cực đại","Đấu nối"
"SPD-PL","Chống sét Philips","(SPD) Chống sét","SPD-PL-SP1","Chống sét Philips 10kV/10kA | Model: SP1 929000713513, Song song","SP1 929000713513","10kV","10kA","Song song"
"SPD-PL","Chống sét Philips","(SPD) Chống sét","SPD-PL-SP1-POL","Chống sét Philips 10kV/10kA | Model: SP1 929001607006 (Poland), Song song","SP1 929001607006 (Poland)","10kV","10kA","Song song"
"SPD-PL","Chống sét Philips","(SPD) Chống sét","SPD-PL-SPD-CHN","Chống sét Philips 20kV/20kA | Model: SPD 929003918880 (China), Nối tiếp","SPD 929003918880 (China)","20kV","20kA","Nối tiếp"
"SPD-PL","Chống sét Philips","(SPD) Chống sét","SPD-PL-PSPD20K-IND","Chống sét Philips 20kV/10kA | Model: PSPD20K 929002101106 (India), Nối tiếp","PSPD20K 929002101106 (India)","20kV","10kA","Nối tiếp"
"SPD-DL","Chống sét Done","(SPD) Chống sét","SPD-DL-S01","Chống sét Done 10kV/5kA | Model: S01, Song song","S01","10kV","5kA","Song song"
"SPD-DL","Chống sét Done","(SPD) Chống sét","SPD-DL-LSP10-PR","Chống sét Done 10kV/10kA | Model: DL-LSP10-PR, Song song","DL-LSP10-PR","10kV","10kA","Song song"
"SPD-DL","Chống sét Done","(SPD) Chống sét","SPD-DL-LSP10-SR","Chống sét Done 10kV/10kA | Model: DL-LSP10-SR, Nối tiếp","DL-LSP10-SR","10kV","10kA","Nối tiếp"
"SPD-DL","Chống sét Done","(SPD) Chống sét","SPD-DL-LSP10-SY","Chống sét Done 10kV/10kA | Model: DL-LSP10-SY, Nối tiếp","DL-LSP10-SY","10kV","10kA","Nối tiếp"
"SPD-DL","Chống sét Done","(SPD) Chống sét","SPD-DL-LSP20-PR","Chống sét Done 20kV/20kA | Model: DL-LSP20-PR, Song song","DL-LSP20-PR","20kV","20kA","Song song"
"SPD-DL","Chống sét Done","(SPD) Chống sét","SPD-DL-LSP20-SR","Chống sét Done 20kV/20kA | Model: DL-LSP20-SR, Nối tiếp","DL-LSP20-SR","20kV","20kA","Nối tiếp"
"SPD-DL","Chống sét Done","(SPD) Chống sét","SPD-DL-LSP20-SY","Chống sét Done 20kV/20kA | Model: DL-LSP20-SY, Nối tiếp","DL-LSP20-SY","20kV","20kA","Nối tiếp"
"SPD-ZP","Chống sét ZP","(SPD) Chống sét","SPD-ZP-LED-S10C","Chống sét ZP 10kV/10kA | Model: ZP-LED-S10C, Nối tiếp","ZP-LED-S10C","10kV","10kA","Nối tiếp"
"SPD-ZP","Chống sét ZP","(SPD) Chống sét","SPD-ZP-LED-S20A","Chống sét ZP 20kV/20kA | Model: ZP-LED-S20A, Nối tiếp","ZP-LED-S20A","20kV","20kA","Nối tiếp"
"SPD-ZP","Chống sét ZP","(SPD) Chống sét","SPD-ZP-LSP20-PR","Chống sét ZP 20kV/20kA | Model: ZP-LSP20-PR, Song song","ZP-LSP20-PR","20kV","20kA","Song song"
"SPD-ZP","Chống sét ZP","(SPD) Chống sét","SPD-ZP-LSP25-P","Chống sét ZP 30kV/25kA | Model: ZP-LSP25-P, Song song","ZP-LSP25-P","30kV","25kA","Song song"
"SPD-HK","Chống sét HKLED","(SPD) Chống sét","SPD-HK-SPD10S","Chống sét HKLED 10kV/10kA | Model: XHK-SPD10S, Song song","XHK-SPD10S","10kV","10kA","Song song"
