"Mã sản phẩm","Phương pháp bổ sung","Tên sản phẩm","Nhóm sản phẩm","Mã biến thể","Tên biến thể","Kích thước ren","Số lõi (Số cực)","Phân loại","Kiểu đấu nối","Đầu vào"
"WPC-M05","Mua hàng","Cầu đấu M05","(WPC) Cầu đấu","WPC-M05-2P","Cầu đấu M05 | M5-2P","M5","2P","","",""
"WPC-M20","Mua hàng","Cầu đấu M20","(WPC) Cầu đấu","WPC-M20-3P","Cầu đấu M20 | M20-3P","M20","3P","","",""
"WPC-M28","Mua hàng","Cầu đấu M28","(WPC) Cầu đấu","WPC-M28-3P","Cầu đấu M28 | M28-3P","M28","3P","","",""
"WPC-MDM","Mua hàng","Cầu đấu đực Module (F Type - IP68)","(WPC) Cầu đấu","WPC-MDM-M15-2P-DD","Cầu đấu đực Module (F Type - IP68) | M15-2P, Loại: Dây 2x0.75","M15","2P","Dây 2x0.75","",""
"WPC-MDM","Mua hàng","Cầu đấu đực Module (F Type - IP68)","(WPC) Cầu đấu","WPC-MDM-M15-2P-PGT","Cầu đấu đực Module (F Type - IP68) | M15-2P, Loại: Ốc chống nước (Ren thô)","M15","2P","Ốc chống nước (Ren thô)","",""
"WPC-MDM","Mua hàng","Cầu đấu đực Module (F Type - IP68)","(WPC) Cầu đấu","WPC-MDM-M15-2P-PGM","Cầu đấu đực Module (F Type - IP68) | M15-2P, Loại: Ốc chống nước (Ren mịn)","M15","2P","Ốc chống nước (Ren mịn)","",""
"WPC-MDF","Mua hàng","Cầu đấu cái Module (F Type - IP68)","(WPC) Cầu đấu","WPC-MDF-M15-2P-2B-SS-CD","Cầu đấu cái Module (F Type - IP68) | M15-2P, Loại: 2 chân (100W), Song song, Đầu vào: Vít dây (Cầu đấu 2P)","M15","2P","2 chân (100W)","Song song","Vít dây (Cầu đấu 2P)"
"WPC-MDF","Mua hàng","Cầu đấu cái Module (F Type - IP68)","(WPC) Cầu đấu","WPC-MDF-M15-2P-3B-SS-CD","Cầu đấu cái Module (F Type - IP68) | M15-2P, Loại: 3 chân (150W), Song song, Đầu vào: Vít dây (Cầu đấu 2P)","M15","2P","3 chân (150W)","Song song","Vít dây (Cầu đấu 2P)"
"WPC-MDF","Mua hàng","Cầu đấu cái Module (F Type - IP68)","(WPC) Cầu đấu","WPC-MDF-M15-2P-4B-SS-CD","Cầu đấu cái Module (F Type - IP68) | M15-2P, Loại: 4 chân (200W), Song song, Đầu vào: Vít dây (Cầu đấu 2P)","M15","2P","4 chân (200W)","Song song","Vít dây (Cầu đấu 2P)"
"WPC-MDF","Mua hàng","Cầu đấu cái Module (F Type - IP68)","(WPC) Cầu đấu","WPC-MDF-M15-2P-5B-SS-CD","Cầu đấu cái Module (F Type - IP68) | M15-2P, Loại: 5 chân (250W), Song song, Đầu vào: Vít dây (Cầu đấu 2P)","M15","2P","5 chân (250W)","Song song","Vít dây (Cầu đấu 2P)"
"WPC-MDF","Mua hàng","Cầu đấu cái Module (F Type - IP68)","(WPC) Cầu đấu","WPC-MDF-M15-2P-6B-SS-CD","Cầu đấu cái Module (F Type - IP68) | M15-2P, Loại: 6 chân (300W), Song song, Đầu vào: Vít dây (Cầu đấu 2P)","M15","2P","6 chân (300W)","Song song","Vít dây (Cầu đấu 2P)"
