"Mã sản phẩm","Tên sản phẩm","Nhóm sản phẩm","Mã biến thể","Tên biến thể","Công suất","Version","Màu sơn","Vật liệu","Độ dày"
"PKG-VDP0X","(Phụ kiện) Khung vỏ đèn pha module P0X - Dùng chung P01, P03","Linh phụ kiện gia công cơ khí","PKG-VDP0X-050-BK-T-1.0mm-v3.0","Khung vỏ đèn pha module P0X Công suất 50W - Dùng chung P01, P03 | v3.0, Sơn: Đen, Vật liệu: Thép, Dày: 1.0mm","50","v3.0","Đen","Thép","1.0mm"
"PKG-VDP0X","(Phụ kiện) Khung vỏ đèn pha module P0X - Dùng chung P01, P03","Linh phụ kiện gia công cơ khí","PKG-VDP0X-050-GY-T-1.0mm-v3.0","Khung vỏ đèn pha module P0X Công suất 50W - Dùng chung P01, P03 | v3.0, Sơn: Xám, Vật liệu: Thép, Dày: 1.0mm","50","v3.0","Xám","Thép","1.0mm"
"PKG-VDP0X","(Phụ kiện) Khung vỏ đèn pha module P0X - Dùng chung P01, P03","Linh phụ kiện gia công cơ khí","PKG-VDP0X-100-BK-T-1.0mm-v3.0","Khung vỏ đèn pha module P0X Công suất 100W - Dùng chung P01, P03 | v3.0, Sơn: Đen, Vật liệu: Thép, Dày: 1.0mm","100","v3.0","Đen","Thép","1.0mm"
"PKG-VDP0X","(Phụ kiện) Khung vỏ đèn pha module P0X - Dùng chung P01, P03","Linh phụ kiện gia công cơ khí","PKG-VDP0X-100-GY-T-1.0mm-v3.0","Khung vỏ đèn pha module P0X Công suất 100W - Dùng chung P01, P03 | v3.0, Sơn: Xám, Vật liệu: Thép, Dày: 1.0mm","100","v3.0","Xám","Thép","1.0mm"
"PKG-VDP0X","(Phụ kiện) Khung vỏ đèn pha module P0X - Dùng chung P01, P03","Linh phụ kiện gia công cơ khí","PKG-VDP0X-150-BK-T-1.0mm-v3.0","Khung vỏ đèn pha module P0X Công suất 150W - Dùng chung P01, P03 | v3.0, Sơn: Đen, Vật liệu: Thép, Dày: 1.0mm","150","v3.0","Đen","Thép","1.0mm"
"PKG-VDP0X","(Phụ kiện) Khung vỏ đèn pha module P0X - Dùng chung P01, P03","Linh phụ kiện gia công cơ khí","PKG-VDP0X-150-GY-T-1.0mm-v3.0","Khung vỏ đèn pha module P0X Công suất 150W - Dùng chung P01, P03 | v3.0, Sơn: Xám, Vật liệu: Thép, Dày: 1.0mm","150","v3.0","Xám","Thép","1.0mm"
"PKG-VDP0X","(Phụ kiện) Khung vỏ đèn pha module P0X - Dùng chung P01, P03","Linh phụ kiện gia công cơ khí","PKG-VDP0X-200-BK-T-1.0mm-v3.0","Khung vỏ đèn pha module P0X Công suất 200W - Dùng chung P01, P03 | v3.0, Sơn: Đen, Vật liệu: Thép, Dày: 1.0mm","200","v3.0","Đen","Thép","1.0mm"
"PKG-VDP0X","(Phụ kiện) Khung vỏ đèn pha module P0X - Dùng chung P01, P03","Linh phụ kiện gia công cơ khí","PKG-VDP0X-200-GY-T-1.0mm-v3.0","Khung vỏ đèn pha module P0X Công suất 200W - Dùng chung P01, P03 | v3.0, Sơn: Xám, Vật liệu: Thép, Dày: 1.0mm","200","v3.0","Xám","Thép","1.0mm"
"PKG-VDP0X","(Phụ kiện) Khung vỏ đèn pha module P0X - Dùng chung P01, P03","Linh phụ kiện gia công cơ khí","PKG-VDP0X-250-BK-T-1.0mm-v3.0","Khung vỏ đèn pha module P0X Công suất 250W - Dùng chung P01, P03 | v3.0, Sơn: Đen, Vật liệu: Thép, Dày: 1.0mm","250","v3.0","Đen","Thép","1.0mm"
"PKG-VDP0X","(Phụ kiện) Khung vỏ đèn pha module P0X - Dùng chung P01, P03","Linh phụ kiện gia công cơ khí","PKG-VDP0X-250-GY-T-1.0mm-v3.0","Khung vỏ đèn pha module P0X Công suất 250W - Dùng chung P01, P03 | v3.0, Sơn: Xám, Vật liệu: Thép, Dày: 1.0mm","250","v3.0","Xám","Thép","1.0mm"
"PKG-VDP0X","(Phụ kiện) Khung vỏ đèn pha module P0X - Dùng chung P01, P03","Linh phụ kiện gia công cơ khí","PKG-VDP0X-300-BK-T-1.0mm-v3.0","Khung vỏ đèn pha module P0X Công suất 300W - Dùng chung P01, P03 | v3.0, Sơn: Đen, Vật liệu: Thép, Dày: 1.0mm","300","v3.0","Đen","Thép","1.0mm"
"PKG-VDP0X","(Phụ kiện) Khung vỏ đèn pha module P0X - Dùng chung P01, P03","Linh phụ kiện gia công cơ khí","PKG-VDP0X-300-GY-T-1.0mm-v3.0","Khung vỏ đèn pha module P0X Công suất 300W - Dùng chung P01, P03 | v3.0, Sơn: Xám, Vật liệu: Thép, Dày: 1.0mm","300","v3.0","Xám","Thép","1.0mm"
"PKG-VDP0X","(Phụ kiện) Khung vỏ đèn pha module P0X - Dùng chung P01, P03","Linh phụ kiện gia công cơ khí","PKG-VDP0X-400-BK-T-1.0mm-v3.0","Khung vỏ đèn pha module P0X Công suất 400W - Dùng chung P01, P03 | v3.0, Sơn: Đen, Vật liệu: Thép, Dày: 1.0mm","400","v3.0","Đen","Thép","1.0mm"
"PKG-VDP0X","(Phụ kiện) Khung vỏ đèn pha module P0X - Dùng chung P01, P03","Linh phụ kiện gia công cơ khí","PKG-VDP0X-400-GY-T-1.0mm-v3.0","Khung vỏ đèn pha module P0X Công suất 400W - Dùng chung P01, P03 | v3.0, Sơn: Xám, Vật liệu: Thép, Dày: 1.0mm","400","v3.0","Xám","Thép","1.0mm"
