"Mã sản phẩm","Tên sản phẩm","Nhóm sản phẩm","Mã biến thể","Tên biến thể","Công suất","Màu sơn","Hình dạng","Phân loại","Loại tản nhiệt"
"PTN-M30S030","Tản nhiệt module SMD Công suất 30W","(PTN) Tản nhiệt (Phần trực tiếp gắn chip LED)","PTN-M30S030","Tản nhiệt module SMD Công suất 30W | Anode hóa","30","Anode hóa","","",""
"PTN-M30S050","Tản nhiệt module SMD Công suất 50W","(PTN) Tản nhiệt (Phần trực tiếp gắn chip LED)","PTN-M30S050-A-HK-PG","Tản nhiệt module SMD Công suất 50W | Nhôm đùn trắng, Anode hóa, HKLED, Vây tản nhiệt phẳng","50","Anode hóa","Vây tản nhiệt phẳng","HKLED","Nhôm đùn trắng"
"PTN-M30S050","Tản nhiệt module SMD Công suất 50W","(PTN) Tản nhiệt (Phần trực tiếp gắn chip LED)","PTN-M30S050-A-HK-CG","Tản nhiệt module SMD Công suất 50W | Nhôm đùn trắng, Anode hóa, HKLED, Vây tản nhiệt cong","50","Anode hóa","Vây tản nhiệt cong","HKLED","Nhôm đùn trắng"
"PTN-M30S050","Tản nhiệt module SMD Công suất 50W","(PTN) Tản nhiệt (Phần trực tiếp gắn chip LED)","PTN-M30S050-A-OEM-PG","Tản nhiệt module SMD Công suất 50W | Nhôm đùn trắng, Anode hóa, OEM, Vây tản nhiệt phẳng","50","Anode hóa","Vây tản nhiệt phẳng","OEM","Nhôm đùn trắng"
"PTN-M30S050","Tản nhiệt module SMD Công suất 50W","(PTN) Tản nhiệt (Phần trực tiếp gắn chip LED)","PTN-M30S050-B-HK-PG","Tản nhiệt module SMD Công suất 50W | Nhôm đúc xám, Sơn tĩnh điện xám, HKLED, Vây tản nhiệt phẳng","50","Sơn tĩnh điện xám","Vây tản nhiệt phẳng","HKLED","Nhôm đúc xám"
"PTN-M30C050","Tản nhiệt module COB Công suất 50W","(PTN) Tản nhiệt (Phần trực tiếp gắn chip LED)","PTN-M30C050-HK-PG","Tản nhiệt module COB Công suất 50W | Anode hóa, HKLED, Vây tản nhiệt phẳng","50","Anode hóa","Vây tản nhiệt phẳng","HKLED",""
"PTN-M30C050","Tản nhiệt module COB Công suất 50W","(PTN) Tản nhiệt (Phần trực tiếp gắn chip LED)","PTN-M30C050-HK-CG","Tản nhiệt module COB Công suất 50W | Anode hóa, HKLED, Vây tản nhiệt cong","50","Anode hóa","Vây tản nhiệt cong","HKLED",""
"PTN-M30C050","Tản nhiệt module COB Công suất 50W","(PTN) Tản nhiệt (Phần trực tiếp gắn chip LED)","PTN-M30C050-OEM-PG","Tản nhiệt module COB Công suất 50W | Anode hóa, OEM, Vây tản nhiệt phẳng","50","Anode hóa","Vây tản nhiệt phẳng","OEM",""
"PTN-M30C100","Tản nhiệt module COB Công suất 100W","(PTN) Tản nhiệt (Phần trực tiếp gắn chip LED)","PTN-M30C100","Tản nhiệt module COB Công suất 100W | Sơn tĩnh điện xám","100","Sơn tĩnh điện xám","","",""
"PTN-M30S200","Tản nhiệt module SMD Công suất 200W","(PTN) Tản nhiệt (Phần trực tiếp gắn chip LED)","PTN-M30S200","Tản nhiệt module SMD Công suất 200W | Sơn tĩnh điện xám","200","Sơn tĩnh điện xám","","",""
"PTN-VDPTR","Tản nhiệt vỏ đèn pha PTR Chip LED COB","(PTN) Tản nhiệt (Phần trực tiếp gắn chip LED)","PTN-VDPTRC010","Tản nhiệt vỏ đèn pha PTR Chip LED COB Công suất 10W","10","","","",""
"PTN-VDPTR","Tản nhiệt vỏ đèn pha PTR Chip LED COB","(PTN) Tản nhiệt (Phần trực tiếp gắn chip LED)","PTN-VDPTRC020","Tản nhiệt vỏ đèn pha PTR Chip LED COB Công suất 20W","20","","","",""
"PTN-VDPTR","Tản nhiệt vỏ đèn pha PTR Chip LED COB","(PTN) Tản nhiệt (Phần trực tiếp gắn chip LED)","PTN-VDPTRC030","Tản nhiệt vỏ đèn pha PTR Chip LED COB Công suất 30W","30","","","",""
"PTN-VDPTC","Tản nhiệt vỏ dùng chung đèn pha PTC/PTR Chip LED COB","(PTN) Tản nhiệt (Phần trực tiếp gắn chip LED)","PTN-VDPTCC050","Tản nhiệt vỏ dùng chung đèn pha PTC/PTR Chip LED COB Công suất 50W","50","","","",""
"PTN-VDPTC","Tản nhiệt vỏ dùng chung đèn pha PTC/PTR Chip LED COB","(PTN) Tản nhiệt (Phần trực tiếp gắn chip LED)","PTN-VDPTCC100","Tản nhiệt vỏ dùng chung đèn pha PTC/PTR Chip LED COB Công suất 100W","100","","","",""
"PTN-VDPTC","Tản nhiệt vỏ dùng chung đèn pha PTC/PTR Chip LED COB","(PTN) Tản nhiệt (Phần trực tiếp gắn chip LED)","PTN-VDPTCC250","Tản nhiệt vỏ dùng chung đèn pha PTC/PTR Chip LED COB Công suất 250W","250","","","",""
"PTN-VDPTC","Tản nhiệt vỏ dùng chung đèn pha PTC/PTR Chip LED COB","(PTN) Tản nhiệt (Phần trực tiếp gắn chip LED)","PTN-VDPTCC300","Tản nhiệt vỏ dùng chung đèn pha PTC/PTR Chip LED COB Công suất 300W","300","","","",""
