"Mã sản phẩm","Phương pháp bổ sung","Tên sản phẩm","Nhóm sản phẩm","Mã biến thể","Tên biến thể","Mô tả","Công suất","Kích thước LED","Số mắt LED","Góc chiếu","Phân loại lens"
"PLS-MDS","Mua hàng","Lens Module SMD 3030","(PLS) Lens","PLS-M30S030-L30-G70/140","Lens Module SMD 3030 Công suất 30W | 30 mắt LED, Góc chiếu: 70/140","","30","3030","30","",""
"PLS-MDS","Mua hàng","Lens Module SMD 3030","(PLS) Lens","PLS-M30S030-L30-G30","Lens Module SMD 3030 Công suất 30W | 30 mắt LED, Góc chiếu: 30","","30","3030","30","30",""
"PLS-MDS","Mua hàng","Lens Module SMD 3030","(PLS) Lens","PLS-M30S030-L30-G60","Lens Module SMD 3030 Công suất 30W | 30 mắt LED, Góc chiếu: 60","","30","3030","30","60",""
"PLS-MDS","Mua hàng","Lens Module SMD 3030","(PLS) Lens","PLS-M30S030-L30-G90","Lens Module SMD 3030 Công suất 30W | 30 mắt LED, Góc chiếu: 90","","30","3030","30","90",""
"PLS-MDS","Mua hàng","Lens Module SMD 3030","(PLS) Lens","PLS-M30S030-L30-G120","Lens Module SMD 3030 Công suất 30W | 30 mắt LED, Góc chiếu: 120","","30","3030","30","120",""
"PLS-MDS","Mua hàng","Lens Module SMD 3030","(PLS) Lens","PLS-M30S050-L64-G70/140","Lens Module SMD 3030 Công suất 50W | 64 mắt LED, Góc chiếu: 70/140","","50","3030","64","",""
"PLS-MDS","Mua hàng","Lens Module SMD 3030","(PLS) Lens","PLS-M30S050-L64-G30","Lens Module SMD 3030 Công suất 50W | 64 mắt LED, Góc chiếu: 30","","50","3030","64","30",""
"PLS-MDS","Mua hàng","Lens Module SMD 3030","(PLS) Lens","PLS-M30S050-L64-G60","Lens Module SMD 3030 Công suất 50W | 64 mắt LED, Góc chiếu: 60","","50","3030","64","60",""
"PLS-MDS","Mua hàng","Lens Module SMD 3030","(PLS) Lens","PLS-M30S050-L64-G90","Lens Module SMD 3030 Công suất 50W | 64 mắt LED, Góc chiếu: 90","","50","3030","64","90",""
"PLS-MDS","Mua hàng","Lens Module SMD 3030","(PLS) Lens","PLS-M30S050-L64-G120","Lens Module SMD 3030 Công suất 50W | 64 mắt LED, Góc chiếu: 120","","50","3030","64","120",""
"PLS-MDS","Mua hàng","Lens Module SMD 3030","(PLS) Lens","PLS-M30S050-L56-G70/140","Lens Module SMD 3030 Công suất 50W | 56 mắt LED, Góc chiếu: 70/140","","50","3030","56","",""
"PLS-MDS","Mua hàng","Lens Module SMD 3030","(PLS) Lens","PLS-M30S050-L50-G70/140","Lens Module SMD 3030 Công suất 50W | 50 mắt LED, Góc chiếu: 70/140","","50","3030","50","",""
"PLS-MDS","Mua hàng","Lens Module SMD 3030","(PLS) Lens","PLS-M30S050-L49-G70/140","Lens Module SMD 3030 Công suất 50W | 49 mắt LED, Góc chiếu: 70/140","","50","3030","49","",""
"PLS-MDS","Mua hàng","Lens Module SMD 3030","(PLS) Lens","PLS-M50S050-L16-G70/140","Lens Module SMD 3030 Công suất 50W | 16 mắt LED, Góc chiếu: 70/140","","50","5050","16","",""
"PLS-MDS","Mua hàng","Lens Module SMD 3030","(PLS) Lens","PLS-M30S200-L288-G70/140","Lens Module SMD 3030 Công suất 200W | 288 mắt LED, Góc chiếu: 70/140","","200","3030","288","",""
"PLS-MDS","Mua hàng","Lens Module SMD 3030","(PLS) Lens","PLS-M50S200-L72-G70/140","Lens Module SMD 3030 Công suất 200W | 72 mắt LED, Góc chiếu: 70/140","","200","5050","72","",""
"PLS-MDC","Mua hàng","Lens Module COB 3030","(PLS) Lens","PLS-M30C050-G70/140","Lens Module COB 3030 Công suất 50W | Góc chiếu: 70/140","","50","3030","","",""
"PLS-MDC","Mua hàng","Lens Module COB 3030","(PLS) Lens","PLS-M30C100-G60","Lens Module COB 3030 Công suất 100W | Góc chiếu: 60","","100","3030","","60",""
"PLS-MDC","Mua hàng","Lens Module COB 3030","(PLS) Lens","PLS-M30C100-G90","Lens Module COB 3030 Công suất 100W | Góc chiếu: 90","","100","3030","","90",""
"PLS-MDC","Mua hàng","Lens Module COB 3030","(PLS) Lens","PLS-M30C100-G120","Lens Module COB 3030 Công suất 100W | Góc chiếu: 120","","100","3030","","120",""
"PLS-VDPKD","Mua hàng","Lens đèn LED pha kẻ dọc PKD","(PLS) Lens","PLS-VDPKDC-G60","Lens đèn LED pha kẻ dọc PKD | Góc chiếu: 60","","","","","60",""
"PLS-VDPKD","Mua hàng","Lens đèn LED pha kẻ dọc PKD","(PLS) Lens","PLS-VDPKDC-G90","Lens đèn LED pha kẻ dọc PKD | Góc chiếu: 90","","","","","90",""
"PLS-VDPKD","Mua hàng","Lens đèn LED pha kẻ dọc PKD","(PLS) Lens","PLS-VDPKDC-G120","Lens đèn LED pha kẻ dọc PKD | Góc chiếu: 120","","","","","120",""
"PLS-VDPVL","Mua hàng","Lens đèn LED pha viền mắt lồi PVL","(PLS) Lens","PLS-VDPVLC-G60","Lens đèn LED pha viền mắt lồi PVL | Góc chiếu: 60","","","","","60",""
"PLS-VDPVL","Mua hàng","Lens đèn LED pha viền mắt lồi PVL","(PLS) Lens","PLS-VDPVLC-G90","Lens đèn LED pha viền mắt lồi PVL | Góc chiếu: 90","","","","","90",""
"PLS-VDPVL","Mua hàng","Lens đèn LED pha viền mắt lồi PVL","(PLS) Lens","PLS-VDPVLC-G120","Lens đèn LED pha viền mắt lồi PVL | Góc chiếu: 120","","","","","120",""
"PLS-VDXHB","Mua hàng","Lens đèn LED nhà xưởng highbay XHB","(PLS) Lens","PLS-VDXHBC-G60","Lens đèn LED nhà xưởng highbay XHB | Góc chiếu: 60","","","","","60",""
"PLS-VDXHB","Mua hàng","Lens đèn LED nhà xưởng highbay XHB","(PLS) Lens","PLS-VDXHBC-G90","Lens đèn LED nhà xưởng highbay XHB | Góc chiếu: 90","","","","","90",""
"PLS-VDXHB","Mua hàng","Lens đèn LED nhà xưởng highbay XHB","(PLS) Lens","PLS-VDXHBC-G120","Lens đèn LED nhà xưởng highbay XHB | Góc chiếu: 120","","","","","120",""
"PLS-VDXHB","Mua hàng","Lens đèn LED nhà xưởng highbay XHB","(PLS) Lens","PLS-VDXHBC100-G120-2C","Lens đèn LED nhà xưởng highbay XHB Công suất 100W | Góc chiếu: 120, Loại 100W (2 Chip)","","100","","","120","100W (2 Chip)"
"PLS-VDX01","Mua hàng","Lens đèn LED nhà xưởng UFO X01","(PLS) Lens","PLS-VDX01S100-30-L110-G60","Lens đèn LED nhà xưởng UFO X01 Công suất 100W SMD 3030 | 110 mắt LED, Góc chiếu: 60","","100","3030","110","60",""
"PLS-VDX01","Mua hàng","Lens đèn LED nhà xưởng UFO X01","(PLS) Lens","PLS-VDX01S150-30-L170-G90","Lens đèn LED nhà xưởng UFO X01 Công suất 150W SMD 3030 | 170 mắt LED, Góc chiếu: 90","","150","3030","170","90",""
"PLS-VDX01","Mua hàng","Lens đèn LED nhà xưởng UFO X01","(PLS) Lens","PLS-VDX01S200-30-L220-G120","Lens đèn LED nhà xưởng UFO X01 Công suất 200W SMD 3030 | 220 mắt LED, Góc chiếu: 120","","200","3030","220","120",""
"PLS-VDX01","Mua hàng","Lens đèn LED nhà xưởng UFO X01","(PLS) Lens","PLS-VDX01S100-30-L110-G60","Lens đèn LED nhà xưởng UFO X01 Công suất 100W SMD 3030 | 110 mắt LED, Góc chiếu: 60","","100","3030","110","60",""
"PLS-VDX01","Mua hàng","Lens đèn LED nhà xưởng UFO X01","(PLS) Lens","PLS-VDX01S150-30-L170-G90","Lens đèn LED nhà xưởng UFO X01 Công suất 150W SMD 3030 | 170 mắt LED, Góc chiếu: 90","","150","3030","170","90",""
"PLS-VDX01","Mua hàng","Lens đèn LED nhà xưởng UFO X01","(PLS) Lens","PLS-VDX01S200-30-L220-G120","Lens đèn LED nhà xưởng UFO X01 Công suất 200W SMD 3030 | 220 mắt LED, Góc chiếu: 120","","200","3030","220","120",""
"PLS-VDX01","Mua hàng","Lens đèn LED nhà xưởng UFO X01","(PLS) Lens","PLS-VDX01S100-30-L110-G60","Lens đèn LED nhà xưởng UFO X01 Công suất 100W SMD 3030 | 110 mắt LED, Góc chiếu: 60","","100","3030","110","60",""
"PLS-VDX01","Mua hàng","Lens đèn LED nhà xưởng UFO X01","(PLS) Lens","PLS-VDX01S150-30-L170-G90","Lens đèn LED nhà xưởng UFO X01 Công suất 150W SMD 3030 | 170 mắt LED, Góc chiếu: 90","","150","3030","170","90",""
"PLS-VDX01","Mua hàng","Lens đèn LED nhà xưởng UFO X01","(PLS) Lens","PLS-VDX01S200-30-L220-G120","Lens đèn LED nhà xưởng UFO X01 Công suất 200W SMD 3030 | 220 mắt LED, Góc chiếu: 120","","200","3030","220","120",""
"PLS-VDX02","Mua hàng","Lens đèn LED nhà xưởng UFO X02","(PLS) Lens","PLS-VDX02S100-30-G60","Lens đèn LED nhà xưởng UFO X02 Công suất 100W SMD 3030 | Góc chiếu: 60","","100","3030","","60",""
"PLS-VDX02","Mua hàng","Lens đèn LED nhà xưởng UFO X02","(PLS) Lens","PLS-VDX02S150-30-G90","Lens đèn LED nhà xưởng UFO X02 Công suất 150W SMD 3030 | Góc chiếu: 90","","150","3030","","90",""
"PLS-VDX02","Mua hàng","Lens đèn LED nhà xưởng UFO X02","(PLS) Lens","PLS-VDX02S200-30-G120","Lens đèn LED nhà xưởng UFO X02 Công suất 200W SMD 3030 | Góc chiếu: 120","","200","3030","","120",""
"PLS-VDX02","Mua hàng","Lens đèn LED nhà xưởng UFO X02","(PLS) Lens","PLS-VDX02S100-30-G60","Lens đèn LED nhà xưởng UFO X02 Công suất 100W SMD 3030 | Góc chiếu: 60","","100","3030","","60",""
"PLS-VDX02","Mua hàng","Lens đèn LED nhà xưởng UFO X02","(PLS) Lens","PLS-VDX02S150-30-G90","Lens đèn LED nhà xưởng UFO X02 Công suất 150W SMD 3030 | Góc chiếu: 90","","150","3030","","90",""
"PLS-VDX02","Mua hàng","Lens đèn LED nhà xưởng UFO X02","(PLS) Lens","PLS-VDX02S200-30-G120","Lens đèn LED nhà xưởng UFO X02 Công suất 200W SMD 3030 | Góc chiếu: 120","","200","3030","","120",""
"PLS-VDX02","Mua hàng","Lens đèn LED nhà xưởng UFO X02","(PLS) Lens","PLS-VDX02S100-30-G60","Lens đèn LED nhà xưởng UFO X02 Công suất 100W SMD 3030 | Góc chiếu: 60","","100","3030","","60",""
"PLS-VDX02","Mua hàng","Lens đèn LED nhà xưởng UFO X02","(PLS) Lens","PLS-VDX02S150-30-G90","Lens đèn LED nhà xưởng UFO X02 Công suất 150W SMD 3030 | Góc chiếu: 90","","150","3030","","90",""
"PLS-VDX02","Mua hàng","Lens đèn LED nhà xưởng UFO X02","(PLS) Lens","PLS-VDX02S200-30-G120","Lens đèn LED nhà xưởng UFO X02 Công suất 200W SMD 3030 | Góc chiếu: 120","","200","3030","","120",""
"PLS-VDX03","Mua hàng","Lens đèn LED nhà xưởng UFO X03","(PLS) Lens","PLS-VDX03S100-G60","Lens đèn LED nhà xưởng UFO X03 Công suất 100W | Góc chiếu: 60","","100","","","60",""
"PLS-VDX03","Mua hàng","Lens đèn LED nhà xưởng UFO X03","(PLS) Lens","PLS-VDX03S150-G90","Lens đèn LED nhà xưởng UFO X03 Công suất 150W | Góc chiếu: 90","","150","","","90",""
"PLS-VDX03","Mua hàng","Lens đèn LED nhà xưởng UFO X03","(PLS) Lens","PLS-VDX03S200-G120","Lens đèn LED nhà xưởng UFO X03 Công suất 200W | Góc chiếu: 120","","200","","","120",""
"PLS-VDX03","Mua hàng","Lens đèn LED nhà xưởng UFO X03","(PLS) Lens","PLS-VDX03S250-G60","Lens đèn LED nhà xưởng UFO X03 Công suất 250W | Góc chiếu: 60","","250","","","60",""
"PLS-VDX03","Mua hàng","Lens đèn LED nhà xưởng UFO X03","(PLS) Lens","PLS-VDX03S100-G90","Lens đèn LED nhà xưởng UFO X03 Công suất 100W | Góc chiếu: 90","","100","","","90",""
"PLS-VDX03","Mua hàng","Lens đèn LED nhà xưởng UFO X03","(PLS) Lens","PLS-VDX03S150-G120","Lens đèn LED nhà xưởng UFO X03 Công suất 150W | Góc chiếu: 120","","150","","","120",""
"PLS-VDX03","Mua hàng","Lens đèn LED nhà xưởng UFO X03","(PLS) Lens","PLS-VDX03S200-G60","Lens đèn LED nhà xưởng UFO X03 Công suất 200W | Góc chiếu: 60","","200","","","60",""
"PLS-VDX03","Mua hàng","Lens đèn LED nhà xưởng UFO X03","(PLS) Lens","PLS-VDX03S250-G90","Lens đèn LED nhà xưởng UFO X03 Công suất 250W | Góc chiếu: 90","","250","","","90",""
"PLS-VDX03","Mua hàng","Lens đèn LED nhà xưởng UFO X03","(PLS) Lens","PLS-VDX03S100-G120","Lens đèn LED nhà xưởng UFO X03 Công suất 100W | Góc chiếu: 120","","100","","","120",""
"PLS-VDX03","Mua hàng","Lens đèn LED nhà xưởng UFO X03","(PLS) Lens","PLS-VDX03S150-G60","Lens đèn LED nhà xưởng UFO X03 Công suất 150W | Góc chiếu: 60","","150","","","60",""
"PLS-VDX03","Mua hàng","Lens đèn LED nhà xưởng UFO X03","(PLS) Lens","PLS-VDX03S200-G90","Lens đèn LED nhà xưởng UFO X03 Công suất 200W | Góc chiếu: 90","","200","","","90",""
"PLS-VDX03","Mua hàng","Lens đèn LED nhà xưởng UFO X03","(PLS) Lens","PLS-VDX03S250-G120","Lens đèn LED nhà xưởng UFO X03 Công suất 250W | Góc chiếu: 120","","250","","","120",""
"PLS-VDXTT","Mua hàng","Lens đèn LED nhà xưởng thể thao XTT","(PLS) Lens","PLS-VDXTTS-G120","Lens đèn LED nhà xưởng thể thao XTT | Góc chiếu: 120","","","","","120",""
"PLS-VDNU1","Mua hàng","Lens đèn LED phòng nổ UFO COB NU1","(PLS) Lens","PLS-VDNU1C-G60","Lens đèn LED phòng nổ UFO COB NU1 | Góc chiếu: 60","","","","","60",""
"PLS-VDNU1","Mua hàng","Lens đèn LED phòng nổ UFO COB NU1","(PLS) Lens","PLS-VDNU1C-G90","Lens đèn LED phòng nổ UFO COB NU1 | Góc chiếu: 90","","","","","90",""
"PLS-VDNU1","Mua hàng","Lens đèn LED phòng nổ UFO COB NU1","(PLS) Lens","PLS-VDNU1C-G120","Lens đèn LED phòng nổ UFO COB NU1 | Góc chiếu: 120","","","","","120",""
"PLS-VDDQL","Mua hàng","Lens đèn LED đường phố hình quạt DQL","(PLS) Lens","PLS-VDDQLC-G70/140-S","Lens đèn LED đường phố hình quạt DQL | Góc chiếu: 70/140, Loại Nhỏ","","","","","","Nhỏ"
"PLS-VDDQL","Mua hàng","Lens đèn LED đường phố hình quạt DQL","(PLS) Lens","PLS-VDDQLC-G70/140-L","Lens đèn LED đường phố hình quạt DQL | Góc chiếu: 70/140, Loại To","","","","","","To"
"PLS-VDD7X","Mua hàng","Lens đèn LED đường phố BRP37X","(PLS) Lens","PLS-VDD7XS-30-L48-G70/140","Lens đèn LED đường phố BRP37X SMD 3030 | 48 mắt LED, Góc chiếu: 70/140","","","3030","48","",""
"PLS-VDD7X","Mua hàng","Lens đèn LED đường phố BRP37X","(PLS) Lens","PLS-VDD7XS-50-L16-G70/140","Lens đèn LED đường phố BRP37X SMD 5050 | 16 mắt LED, Góc chiếu: 70/140","","","5050","16","",""
"PLS-VDD91","Mua hàng","Lens đèn LED đường phố BRP391","(PLS) Lens","PLS-VDD91S100-30-L100-G70/140","Lens đèn LED đường phố BRP391 Công suất 100W SMD 3030 | 100 mắt LED, Góc chiếu: 70/140","","100","3030","100","",""
"PLS-VDD92","Mua hàng","Lens đèn LED đường phố BRP392","(PLS) Lens","PLS-VDD92S200-30-L200-G70/140","Lens đèn LED đường phố BRP392 Công suất 200W SMD 3030 | 200 mắt LED, Góc chiếu: 70/140","","200","3030","200","",""
"PLS-VDD94","Mua hàng","Lens đèn LED đường phố BRP394","(PLS) Lens","PLS-VDD94S400-30-L400-G70/140","Lens đèn LED đường phố BRP394 Công suất 400W SMD 3030 | 400 mắt LED, Góc chiếu: 70/140","","400","3030","400","",""
"PLS-VDD2X","Mua hàng","Lens đèn LED đường phố D2X","(PLS) Lens","PLS-VDD2XS-30-L16-G70/140","Lens đèn LED đường phố D2X SMD 3030 | 16 mắt LED, Góc chiếu: 70/140","Sử dụng cho D22, D23, D25, D26","","3030","16","",""
"PLS-VDD2X","Mua hàng","Lens đèn LED đường phố D2X","(PLS) Lens","PLS-VDD2XS-50-L4-G70/140","Lens đèn LED đường phố D2X SMD 5050 | 4 mắt LED, Góc chiếu: 70/140","Sử dụng cho D22, D23, D25, D26","","5050","4","",""
"PLS-VDDS1","Mua hàng","Lens đèn LED đường phố DS1","(PLS) Lens","PLS-VDDS1S050-30-L60-G70/140","Lens đèn LED đường phố DS1 Công suất 50W SMD 3030 | 60 mắt LED, Góc chiếu: 70/140","","50","3030","60","",""
"PLS-VDDS1","Mua hàng","Lens đèn LED đường phố DS1","(PLS) Lens","PLS-VDDS1S100-30-L120-G70/140","Lens đèn LED đường phố DS1 Công suất 100W SMD 3030 | 120 mắt LED, Góc chiếu: 70/140","","100","3030","120","",""
