"Mã sản phẩm","Tên sản phẩm","Nhóm sản phẩm","Phương pháp bổ sung","Mã biến thể","Tên biến thể","Mô tả","Công suất","Phân loại chao"
"PCA-VDXHB","Chao đèn nhà xưởng highbay XHB","(PCA) Chao đèn","Mua hàng","PCA-VDXHBC050","Chao đèn nhà xưởng highbay XHB Công suất 50W","","50W",""
"PCA-VDXHB","Chao đèn nhà xưởng highbay XHB","(PCA) Chao đèn","Mua hàng","PCA-VDXHBC100","Chao đèn nhà xưởng highbay XHB Công suất 100W","","100W",""
"PCA-VDXHB","Chao đèn nhà xưởng highbay XHB","(PCA) Chao đèn","Mua hàng","PCA-VDXHBC200","Chao đèn nhà xưởng highbay XHB Công suất 200W","Dùng cho 150-200W","200W",""
"PCA-VDXHB","Chao đèn nhà xưởng highbay XHB","(PCA) Chao đèn","Mua hàng","PCA-VDXHBC300","Chao đèn nhà xưởng highbay XHB Công suất 300W","Dùng cho 250-300W","300W",""
"PCA-VDXHB","Chao đèn nhà xưởng highbay XHB","(PCA) Chao đèn","Mua hàng","PCA-VDXHBC400","Chao đèn nhà xưởng highbay XHB Công suất 400W","Dùng cho 350-400W","400W",""
"PCA-VDXTT","Chao đèn nhà xưởng thể thao XTT","(PCA) Chao đèn","Mua hàng","","","","",""
"PCA-VDX01","Chao đèn nhà xưởng UFO X01","(PCA) Chao đèn","Mua hàng","PCA-VDX01S100","Chao đèn nhà xưởng UFO X01 Công suất 100W","","100W",""
"PCA-VDX01","Chao đèn nhà xưởng UFO X01","(PCA) Chao đèn","Mua hàng","PCA-VDX01S150","Chao đèn nhà xưởng UFO X01 Công suất 150W","","150W",""
"PCA-VDX01","Chao đèn nhà xưởng UFO X01","(PCA) Chao đèn","Mua hàng","PCA-VDX01S200","Chao đèn nhà xưởng UFO X01 Công suất 200W","","200W",""
"PCA-VDX03","Chao đèn nhà xưởng UFO X03","(PCA) Chao đèn","Mua hàng","PCA-VDX03S100-WH","Chao đèn nhà xưởng UFO X03 Công suất 100W | Trắng","","100W","Trắng"
"PCA-VDX03","Chao đèn nhà xưởng UFO X03","(PCA) Chao đèn","Mua hàng","PCA-VDX03S150-WH","Chao đèn nhà xưởng UFO X03 Công suất 150W | Trắng","","150W","Trắng"
"PCA-VDX03","Chao đèn nhà xưởng UFO X03","(PCA) Chao đèn","Mua hàng","PCA-VDX03S200-WH","Chao đèn nhà xưởng UFO X03 Công suất 200W | Trắng","","200W","Trắng"
"PCA-VDX03","Chao đèn nhà xưởng UFO X03","(PCA) Chao đèn","Mua hàng","PCA-VDX03S250-WH","Chao đèn nhà xưởng UFO X03 Công suất 250W | Trắng","","250W","Trắng"
"PCA-VDPCC","Chao đèn pha cầu cảng PCC","(PCA) Chao đèn","Mua hàng","PCA-VDPCCS400-BK","Chao đèn pha cầu cảng PCC Công suất 400W | Đen","","400W","Đen"
"PCA-VDPCC","Chao đèn pha cầu cảng PCC","(PCA) Chao đèn","Mua hàng","PCA-VDPCCS600-GY","Chao đèn pha cầu cảng PCC Công suất 600W | Xám","","600W","Xám"
"PCA-VDPCC","Chao đèn pha cầu cảng PCC","(PCA) Chao đèn","Mua hàng","PCA-VDPCCS1K0-GY","Chao đèn pha cầu cảng PCC Công suất 1000W | Xám","","1000W","Xám"
"PCA-VDPCT","Chao đèn pha cẩu tháp PCT","(PCA) Chao đèn","Mua hàng","PCA-VDPCTS500","Chao đèn pha cẩu tháp PCT Công suất 500W","","500W",""
"PCA-VDPCT","Chao đèn pha cẩu tháp PCT","(PCA) Chao đèn","Mua hàng","PCA-VDPCTS1K0","Chao đèn pha cẩu tháp PCT Công suất 1000W","","1000W",""
"PCA-VDPCT","Chao đèn pha cẩu tháp PCT","(PCA) Chao đèn","Mua hàng","PCA-VDPCTS1K5","Chao đèn pha cẩu tháp PCT Công suất 1500W","","1500W",""
"PCA-VDX03","Chao đèn nhà xưởng UFO X03","(PCA) Chao đèn","Mua hàng","PCA-VDX03S100-BK","Chao đèn nhà xưởng UFO X03 Công suất 100W | Đen","","100W","Đen"
"PCA-VDX03","Chao đèn nhà xưởng UFO X03","(PCA) Chao đèn","Mua hàng","PCA-VDX03S150-BK","Chao đèn nhà xưởng UFO X03 Công suất 150W | Đen","","150W","Đen"
"PCA-VDX03","Chao đèn nhà xưởng UFO X03","(PCA) Chao đèn","Mua hàng","PCA-VDX03S200-BK","Chao đèn nhà xưởng UFO X03 Công suất 200W | Đen","","200W","Đen"
"PCA-VDX03","Chao đèn nhà xưởng UFO X03","(PCA) Chao đèn","Mua hàng","PCA-VDX03S250-BK","Chao đèn nhà xưởng UFO X03 Công suất 250W | Đen","","250W","Đen"
