"Mã sản phẩm","Tên sản phẩm","Nhóm sản phẩm","Phương pháp bổ sung","Mã biến thể","Tên biến thể","Công suất","Phân loại cần đèn"
"PCD-VDD01","Trụ bắt cần đèn đường D01","(PCD) Trụ bắt cần đèn","Mua hàng","","","",""
"PCD-VDD02","Trụ bắt cần đèn đường D02","(PCD) Trụ bắt cần đèn","Mua hàng","","","",""
"PCD-VDD03","Trụ bắt cần đèn đường D03","(PCD) Trụ bắt cần đèn","Mua hàng","","","",""
"PCD-VDD04","Trụ bắt cần đèn đường D04","(PCD) Trụ bắt cần đèn","Mua hàng","","","",""
"PCD-VDD05","Trụ bắt cần đèn đường D05","(PCD) Trụ bắt cần đèn","Mua hàng","","","",""
"PCD-VDD06","Trụ bắt cần đèn đường D06","(PCD) Trụ bắt cần đèn","Mua hàng","","","",""
"PCD-VDD20","Trụ bắt cần đèn đường D20","(PCD) Trụ bắt cần đèn","Mua hàng","PCD-VDD20-A","Trụ bắt cần đèn đường D20 - Mẫu A","","Mẫu A"
"PCD-VDD20","Trụ bắt cần đèn đường D20","(PCD) Trụ bắt cần đèn","Mua hàng","PCD-VDD20-B","Trụ bắt cần đèn đường D20 - Mẫu B","","Mẫu B"
"PCD-VDD21","Trụ bắt cần đèn đường D21","(PCD) Trụ bắt cần đèn","Mua hàng","","","",""
"PCD-VDD23","Trụ bắt cần đèn đường D22/D23","(PCD) Trụ bắt cần đèn","Mua hàng","PCD-VDD23-L","Trụ bắt cần đèn đường D22/D23 - To","","To"
"PCD-VDD23","Trụ bắt cần đèn đường D22/D23","(PCD) Trụ bắt cần đèn","Mua hàng","PCD-VDD23-S","Trụ bắt cần đèn đường D22/D23 - Nhỏ","","Nhỏ"
"PCD-VDD25","Trụ bắt cần đèn đường D25","(PCD) Trụ bắt cần đèn","Mua hàng","","","",""
"PCD-VDD26","Trụ bắt cần đèn đường D26","(PCD) Trụ bắt cần đèn","Mua hàng","","","",""
"PCD-VDD14","Trụ bắt cần đèn đường D14","(PCD) Trụ bắt cần đèn","Mua hàng","","","",""
"PCD-VDD15","Trụ bắt cần đèn đường D15","(PCD) Trụ bắt cần đèn","Mua hàng","","","",""
