"Mã sản phẩm","Tên sản phẩm","Nhóm sản phẩm","Phương pháp bổ sung"
"PDD-VDD01","Đầu đèn đường D01","(PDD) Phần đầu đèn đường","Mua hàng"
"PDD-VDD02","Đầu đèn đường D02","(PDD) Phần đầu đèn đường","Mua hàng"
"PDD-VDD03","Đầu đèn đường D03","(PDD) Phần đầu đèn đường","Mua hàng"
"PDD-VDD05","Đầu đèn đường D05","(PDD) Phần đầu đèn đường","Mua hàng"
"PDD-VDD06","Đầu đèn đường D06","(PDD) Phần đầu đèn đường","Mua hàng"
"PDD-VDD11","Đầu đèn đường D11","(PDD) Phần đầu đèn đường","Mua hàng"
"PDD-VDD12","Đầu đèn đường D12","(PDD) Phần đầu đèn đường","Mua hàng"
"PDD-VDD13","Đầu đèn đường D13","(PDD) Phần đầu đèn đường","Mua hàng"
"PDD-VDD14","Đầu đèn đường D14","(PDD) Phần đầu đèn đường","Mua hàng"
"PDD-VDD15","Đầu đèn đường D15","(PDD) Phần đầu đèn đường","Mua hàng"
