"Mã sản phẩm","Tên sản phẩm","Nhóm sản phẩm","Phương pháp bổ sung","Mã biến thể","Tên biến thể","Mô tả","Đơn vị tính","Màu sơn","Phân loại gông/nẹp"
"PGN-COB","Gông nhựa chip LED COB","(PGN) Gông/nẹp/Khóa gài","Mua hàng","PGN-COB-30/50","Gông nhựa chip LED COB - 3030/5050","","Cái","","3030/5050"
"PGN-COB","Gông nhựa chip LED COB","(PGN) Gông/nẹp/Khóa gài","Mua hàng","PGN-COB-7660","Gông nhựa chip LED COB - 7660","","Cái","","7660"
"PGN-COB","Gông nhựa chip LED COB","(PGN) Gông/nẹp/Khóa gài","Mua hàng","PGN-COB-P1208","Gông nhựa chip LED COB - Philips 1208","","Cái","","Philips 1208"
"PGN-VDPCC","Gông/Nẹp kính đèn pha cầu cảng PCC","(PGN) Gông/nẹp/Khóa gài","Mua hàng","PGN-VDPCC-BK","Gông/Nẹp kính đèn pha cầu cảng PCC - Đen","","Cái","Đen",""
"PGN-VDPCC","Gông/Nẹp kính đèn pha cầu cảng PCC","(PGN) Gông/nẹp/Khóa gài","Mua hàng","PGN-VDPCC-GY","Gông/Nẹp kính đèn pha cầu cảng PCC - Xám","","Cái","Xám",""
"PGN-VDPCT","Gông/Nẹp kính đèn pha cẩu tháp PCT","(PGN) Gông/nẹp/Khóa gài","Mua hàng","PGN-VDPCT-BK","Gông/Nẹp kính đèn pha cẩu tháp PCT - Đen","","Cái","Đen",""
"PGN-VDPVD","Gông/Nẹp kính đèn pha sân vận động PVD","(PGN) Gông/nẹp/Khóa gài","Mua hàng","PGN-VDPVD-BK","Gông/Nẹp kính đèn pha sân vận động PVD - Đen","","Cái","Đen",""
"PGN-VDDQL","Gông/Nẹp lens đèn đường quạt DQL","(PGN) Gông/nẹp/Khóa gài","Mua hàng","PGN-VDDQL-BK-S","Gông/Nẹp lens đèn đường quạt DQL - Đen, Nhỏ","","Cái","Đen","Nhỏ"
"PGN-VDDQL","Gông/Nẹp lens đèn đường quạt DQL","(PGN) Gông/nẹp/Khóa gài","Mua hàng","PGN-VDDQL-GY-S","Gông/Nẹp lens đèn đường quạt DQL - Xám, Nhỏ","","Cái","Xám","Nhỏ"
"PGN-VDDQL","Gông/Nẹp lens đèn đường quạt DQL","(PGN) Gông/nẹp/Khóa gài","Mua hàng","PGN-VDDQL-NO-S","Gông/Nẹp lens đèn đường quạt DQL - Chưa sơn, Nhỏ","","Cái","Chưa sơn","Nhỏ"
"PGN-VDDQL","Gông/Nẹp lens đèn đường quạt DQL","(PGN) Gông/nẹp/Khóa gài","Mua hàng","PGN-VDDQL-BK-L","Gông/Nẹp lens đèn đường quạt DQL - Đen, To","","Cái","Đen","To"
"PGN-VDDQL","Gông/Nẹp lens đèn đường quạt DQL","(PGN) Gông/nẹp/Khóa gài","Mua hàng","PGN-VDDQL-GY-L","Gông/Nẹp lens đèn đường quạt DQL - Xám, To","","Cái","Xám","To"
"PGN-VDDQL","Gông/Nẹp lens đèn đường quạt DQL","(PGN) Gông/nẹp/Khóa gài","Mua hàng","PGN-VDDQL-NO-L","Gông/Nẹp lens đèn đường quạt DQL - Chưa sơn, To","","Cái","Chưa sơn","To"
"PGN-VDXHB","Gông/Nẹp lens đèn nhà xưởng highbay XHB","(PGN) Gông/nẹp/Khóa gài","Mua hàng","","","","Cái","",""
"PGN-VDD22","Bộ nẹp mặt kính đèn đường D22","(PGN) Gông/nẹp/Khóa gài","Mua hàng","PGN-VDD22-050","Bộ nẹp mặt kính đèn đường D22 - 50W","","Cái","","50W"
"PGN-VDD22","Bộ nẹp mặt kính đèn đường D22","(PGN) Gông/nẹp/Khóa gài","Mua hàng","PGN-VDD22-100","Bộ nẹp mặt kính đèn đường D22 - 100W","","Cái","","100W"
"PGN-VDD22","Bộ nẹp mặt kính đèn đường D22","(PGN) Gông/nẹp/Khóa gài","Mua hàng","PGN-VDD22-150","Bộ nẹp mặt kính đèn đường D22 - 150W","","Cái","","150W"
"PGN-VDD22","Bộ nẹp mặt kính đèn đường D22","(PGN) Gông/nẹp/Khóa gài","Mua hàng","PGN-VDD22-200","Bộ nẹp mặt kính đèn đường D22 - 200W","","Cái","","200W"
"PGN-VDD22","Bộ nẹp mặt kính đèn đường D22","(PGN) Gông/nẹp/Khóa gài","Mua hàng","PGN-VDD22-250","Bộ nẹp mặt kính đèn đường D22 - 250W","","Cái","","250W"
"PGN-VDD23","Khóa gài khoang nguồn đèn đường D23","(PGN) Gông/nẹp/Khóa gài","Mua hàng","PGN-VDD23-LF","Khóa gài khoang nguồn đèn đường D23 - Trái","","Cái","","Trái"
"PGN-VDD23","Khóa gài khoang nguồn đèn đường D23","(PGN) Gông/nẹp/Khóa gài","Mua hàng","PGN-VDD23-RG","Khóa gài khoang nguồn đèn đường D23 - Phải","","Cái","","Phải"
"PGN-VDD26","Khóa gài khoang nguồn đèn đường D26","(PGN) Gông/nẹp/Khóa gài","Mua hàng","PGN-VDD26-LF","Khóa gài khoang nguồn đèn đường D26 - Trái","","Cái","","Trái"
"PGN-VDD26","Khóa gài khoang nguồn đèn đường D26","(PGN) Gông/nẹp/Khóa gài","Mua hàng","PGN-VDD26-RG","Khóa gài khoang nguồn đèn đường D26 - Phải","","Cái","","Phải"
