"Mã sản phẩm","Tên sản phẩm","Nhóm sản phẩm","Phương pháp bổ sung","Mã biến thể","Tên biến thể","Đơn vị tính","Công suất","Phân loại hộp nguồn"
"PHN-VDXTT","Hộp nguồn đèn nhà xưởng thể thao XTT","(PHN) Hộp nguồn/Khoang nguồn","Mua hàng","","","Cái","",""
"PHN-VDXHB","Hộp nguồn đèn nhà xưởng highbay XHB","(PHN) Hộp nguồn/Khoang nguồn","Mua hàng","PHN-VDXHBC050","Hộp nguồn đèn nhà xưởng highbay XHB Công suất 50W","Cái","50W",""
"PHN-VDXHB","Hộp nguồn đèn nhà xưởng highbay XHB","(PHN) Hộp nguồn/Khoang nguồn","Mua hàng","PHN-VDXHBC100","Hộp nguồn đèn nhà xưởng highbay XHB Công suất 100W","Cái","100W",""
"PHN-VDXHB","Hộp nguồn đèn nhà xưởng highbay XHB","(PHN) Hộp nguồn/Khoang nguồn","Mua hàng","PHN-VDXHBC150","Hộp nguồn đèn nhà xưởng highbay XHB Công suất 150W","Cái","150W",""
"PHN-VDXHB","Hộp nguồn đèn nhà xưởng highbay XHB","(PHN) Hộp nguồn/Khoang nguồn","Mua hàng","PHN-VDXHBC200","Hộp nguồn đèn nhà xưởng highbay XHB Công suất 200W","Cái","200W",""
"PHN-VDXHB","Hộp nguồn đèn nhà xưởng highbay XHB","(PHN) Hộp nguồn/Khoang nguồn","Mua hàng","PHN-VDXHBC250","Hộp nguồn đèn nhà xưởng highbay XHB Công suất 250W","Cái","250W",""
"PHN-VDXHB","Hộp nguồn đèn nhà xưởng highbay XHB","(PHN) Hộp nguồn/Khoang nguồn","Mua hàng","PHN-VDXHBC300","Hộp nguồn đèn nhà xưởng highbay XHB Công suất 300W","Cái","300W",""
"PHN-VDXHB","Hộp nguồn đèn nhà xưởng highbay XHB","(PHN) Hộp nguồn/Khoang nguồn","Mua hàng","PHN-VDXHBC350","Hộp nguồn đèn nhà xưởng highbay XHB Công suất 350W","Cái","350W",""
"PHN-VDXHB","Hộp nguồn đèn nhà xưởng highbay XHB","(PHN) Hộp nguồn/Khoang nguồn","Mua hàng","PHN-VDXHBC400","Hộp nguồn đèn nhà xưởng highbay XHB Công suất 400W","Cái","400W",""
"PHN-VDX02","Hộp nguồn đèn nhà xưởng UFO X02","(PHN) Hộp nguồn/Khoang nguồn","Mua hàng","PHN-VDX02S100-GY","Hộp nguồn đèn nhà xưởng UFO X02 Công suất 100W - Xám","Cái","100W","Xám"
"PHN-VDX02","Hộp nguồn đèn nhà xưởng UFO X02","(PHN) Hộp nguồn/Khoang nguồn","Mua hàng","PHN-VDX02S150-GY","Hộp nguồn đèn nhà xưởng UFO X02 Công suất 150W - Xám","Cái","150W","Xám"
"PHN-VDX02","Hộp nguồn đèn nhà xưởng UFO X02","(PHN) Hộp nguồn/Khoang nguồn","Mua hàng","PHN-VDX02S200-GY","Hộp nguồn đèn nhà xưởng UFO X02 Công suất 200W - Xám","Cái","200W","Xám"
"PHN-VDX02","Hộp nguồn đèn nhà xưởng UFO X02","(PHN) Hộp nguồn/Khoang nguồn","Mua hàng","PHN-VDX02S100-BN","Hộp nguồn đèn nhà xưởng UFO X02 Công suất 100W - Nâu","Cái","100W","Nâu"
"PHN-VDX02","Hộp nguồn đèn nhà xưởng UFO X02","(PHN) Hộp nguồn/Khoang nguồn","Mua hàng","PHN-VDX02S150-BN","Hộp nguồn đèn nhà xưởng UFO X02 Công suất 150W - Nâu","Cái","150W","Nâu"
"PHN-VDX02","Hộp nguồn đèn nhà xưởng UFO X02","(PHN) Hộp nguồn/Khoang nguồn","Mua hàng","PHN-VDX02S200-BN","Hộp nguồn đèn nhà xưởng UFO X02 Công suất 200W - Nâu","Cái","200W","Nâu"
"PHN-NHKT","Hộp nguồn HKLED Nguồn tròn","(PHN) Hộp nguồn/Khoang nguồn","Mua hàng","","","Cái","",""
"PHN-VDPCT","Hộp nguồn đèn pha cẩu tháp PCT","(PHN) Hộp nguồn/Khoang nguồn","Mua hàng","PHN-VDPCTS500","Hộp nguồn đèn pha cẩu tháp PCT Công suất 500W","Cái","500W",""
"PHN-VDPCT","Hộp nguồn đèn pha cẩu tháp PCT","(PHN) Hộp nguồn/Khoang nguồn","Mua hàng","PHN-VDPCTS1K0","Hộp nguồn đèn pha cẩu tháp PCT Công suất 1000W","Cái","1000W",""
