"Mã sản phẩm","Tên sản phẩm","Nhóm sản phẩm","Phương pháp bổ sung","Mã biến thể","Tên biến thể","Công suất","Phân loại kính"
"PKI-VDPTC","Kính đèn pha tròn PTC","(PKI) Kính","Mua hàng","PKI-VDPTCC050-65","Kính đèn pha tròn PTC Công suất 50W - IP65","50W","IP65"
"PKI-VDPTC","Kính đèn pha tròn PTC","(PKI) Kính","Mua hàng","PKI-VDPTCC100-65","Kính đèn pha tròn PTC Công suất 100W - IP65","100W","IP65"
"PKI-VDPTC","Kính đèn pha tròn PTC","(PKI) Kính","Mua hàng","PKI-VDPTCC150-65","Kính đèn pha tròn PTC Công suất 150W - IP65","150W","IP65"
"PKI-VDPTC","Kính đèn pha tròn PTC","(PKI) Kính","Mua hàng","PKI-VDPTCC200-65","Kính đèn pha tròn PTC Công suất 200W - IP65","200W","IP65"
"PKI-VDPTC","Kính đèn pha tròn PTC","(PKI) Kính","Mua hàng","PKI-VDPTCC250-65","Kính đèn pha tròn PTC Công suất 250W - IP65","250W","IP65"
"PKI-VDPTC","Kính đèn pha tròn PTC","(PKI) Kính","Mua hàng","PKI-VDPTCC300-65","Kính đèn pha tròn PTC Công suất 300W - IP65","300W","IP65"
"PKI-VDPTC","Kính đèn pha tròn PTC","(PKI) Kính","Mua hàng","PKI-VDPTCC400-65","Kính đèn pha tròn PTC Công suất 400W - IP65","400W","IP65"
"PKI-VDPTC","Kính đèn pha tròn PTC","(PKI) Kính","Mua hàng","PKI-VDPTCC500-65","Kính đèn pha tròn PTC Công suất 500W - IP65","500W","IP65"
"PKI-VDPTC","Kính đèn pha tròn PTC","(PKI) Kính","Mua hàng","PKI-VDPTCC600-65","Kính đèn pha tròn PTC Công suất 600W - IP65","600W","IP65"
"PKI-VDPTC","Kính đèn pha tròn PTC","(PKI) Kính","Mua hàng","PKI-VDPTCC050-66","Kính đèn pha tròn PTC Công suất 50W - IP66","50W","IP66"
"PKI-VDPTC","Kính đèn pha tròn PTC","(PKI) Kính","Mua hàng","PKI-VDPTCC100-66","Kính đèn pha tròn PTC Công suất 100W - IP66","100W","IP66"
"PKI-VDPTC","Kính đèn pha tròn PTC","(PKI) Kính","Mua hàng","PKI-VDPTCC150-66","Kính đèn pha tròn PTC Công suất 150W - IP66","150W","IP66"
"PKI-VDPTC","Kính đèn pha tròn PTC","(PKI) Kính","Mua hàng","PKI-VDPTCC200-66","Kính đèn pha tròn PTC Công suất 200W - IP66","200W","IP66"
"PKI-VDPTC","Kính đèn pha tròn PTC","(PKI) Kính","Mua hàng","PKI-VDPTCC250-66","Kính đèn pha tròn PTC Công suất 250W - IP66","250W","IP66"
"PKI-VDPTC","Kính đèn pha tròn PTC","(PKI) Kính","Mua hàng","PKI-VDPTCC300-66","Kính đèn pha tròn PTC Công suất 300W - IP66","300W","IP66"
"PKI-VDPTC","Kính đèn pha tròn PTC","(PKI) Kính","Mua hàng","PKI-VDPTCC400-66","Kính đèn pha tròn PTC Công suất 400W - IP66","400W","IP66"
"PKI-VDPTC","Kính đèn pha tròn PTC","(PKI) Kính","Mua hàng","PKI-VDPTCC500-66","Kính đèn pha tròn PTC Công suất 500W - IP66","500W","IP66"
"PKI-VDPTC","Kính đèn pha tròn PTC","(PKI) Kính","Mua hàng","PKI-VDPTCC600-66","Kính đèn pha tròn PTC Công suất 600W - IP66","600W","IP66"
"PKI-VDPTC","Kính đèn pha tròn PTC","(PKI) Kính","Mua hàng","PKI-VDPTCC050-67","Kính đèn pha tròn PTC Công suất 50W - IP67","50W","IP67"
"PKI-VDPTC","Kính đèn pha tròn PTC","(PKI) Kính","Mua hàng","PKI-VDPTCC100-67","Kính đèn pha tròn PTC Công suất 100W - IP67","100W","IP67"
