"Mã sản phẩm","Tên sản phẩm","Nhóm sản phẩm","Phương pháp bổ sung","Mã biến thể","Tên biến thể","Công suất","Phân loại nắp"
"PNH-VDD01","Nắp che khoang nguồn đèn đường D01","(PNH) Nắp hộp","Mua hàng","","","",""
"PNH-VDD02","Nắp che khoang nguồn đèn đường D02","(PNH) Nắp hộp","Mua hàng","","","",""
"PNH-VDD03","Nắp che khoang nguồn đèn đường D03","(PNH) Nắp hộp","Mua hàng","","","",""
"PNH-VDD05","Nắp che khoang nguồn đèn đường D05","(PNH) Nắp hộp","Mua hàng","","","",""
"PNH-VDD06","Nắp che khoang nguồn đèn đường D06","(PNH) Nắp hộp","Mua hàng","","","",""
"PNH-VDD11","Nắp che khoang nguồn đèn đường D11","(PNH) Nắp hộp","Mua hàng","","","",""
"PNH-VDD12","Nắp che khoang nguồn đèn đường D12","(PNH) Nắp hộp","Mua hàng","","","",""
"PNH-VDD13","Nắp che khoang nguồn đèn đường D13","(PNH) Nắp hộp","Mua hàng","","","",""
"PNH-VDD14","Nắp che khoang nguồn đèn đường D14","(PNH) Nắp hộp","Mua hàng","","","",""
"PNH-VDD15","Nắp che khoang nguồn đèn đường D15","(PNH) Nắp hộp","Mua hàng","","","",""
"PNH-VDDQL","Nắp hộp nguồn đèn đường quạt DQL","(PNH) Nắp hộp","Mua hàng","PNH-VDDQLC030-BK","Nắp hộp nguồn đèn đường quạt DQL Công suất 30W - Đen","30W","Đen"
"PNH-VDDQL","Nắp hộp nguồn đèn đường quạt DQL","(PNH) Nắp hộp","Mua hàng","PNH-VDDQLC050-BK","Nắp hộp nguồn đèn đường quạt DQL Công suất 50W - Đen","50W","Đen"
"PNH-VDDQL","Nắp hộp nguồn đèn đường quạt DQL","(PNH) Nắp hộp","Mua hàng","PNH-VDDQLC080-BK","Nắp hộp nguồn đèn đường quạt DQL Công suất 80W - Đen","80W","Đen"
"PNH-VDDQL","Nắp hộp nguồn đèn đường quạt DQL","(PNH) Nắp hộp","Mua hàng","PNH-VDDQLC100-BK","Nắp hộp nguồn đèn đường quạt DQL Công suất 100W - Đen","100W","Đen"
"PNH-VDDQL","Nắp hộp nguồn đèn đường quạt DQL","(PNH) Nắp hộp","Mua hàng","PNH-VDDQLC150-BK","Nắp hộp nguồn đèn đường quạt DQL Công suất 150W - Đen","150W","Đen"
"PNH-VDDQL","Nắp hộp nguồn đèn đường quạt DQL","(PNH) Nắp hộp","Mua hàng","PNH-VDDQLC200-BK","Nắp hộp nguồn đèn đường quạt DQL Công suất 200W - Đen","200W","Đen"
"PNH-VDDQL","Nắp hộp nguồn đèn đường quạt DQL","(PNH) Nắp hộp","Mua hàng","PNH-VDDQLC250-BK","Nắp hộp nguồn đèn đường quạt DQL Công suất 250W - Đen","250W","Đen"
"PNH-VDDQL","Nắp hộp nguồn đèn đường quạt DQL","(PNH) Nắp hộp","Mua hàng","PNH-VDDQLC030-GY","Nắp hộp nguồn đèn đường quạt DQL Công suất 30W - Xám","30W","Xám"
"PNH-VDDQL","Nắp hộp nguồn đèn đường quạt DQL","(PNH) Nắp hộp","Mua hàng","PNH-VDDQLC050-GY","Nắp hộp nguồn đèn đường quạt DQL Công suất 50W - Xám","50W","Xám"
"PNH-VDDQL","Nắp hộp nguồn đèn đường quạt DQL","(PNH) Nắp hộp","Mua hàng","PNH-VDDQLC080-GY","Nắp hộp nguồn đèn đường quạt DQL Công suất 80W - Xám","80W","Xám"
"PNH-VDDQL","Nắp hộp nguồn đèn đường quạt DQL","(PNH) Nắp hộp","Mua hàng","PNH-VDDQLC100-GY","Nắp hộp nguồn đèn đường quạt DQL Công suất 100W - Xám","100W","Xám"
"PNH-VDDQL","Nắp hộp nguồn đèn đường quạt DQL","(PNH) Nắp hộp","Mua hàng","PNH-VDDQLC150-GY","Nắp hộp nguồn đèn đường quạt DQL Công suất 150W - Xám","150W","Xám"
"PNH-VDDQL","Nắp hộp nguồn đèn đường quạt DQL","(PNH) Nắp hộp","Mua hàng","PNH-VDDQLC200-GY","Nắp hộp nguồn đèn đường quạt DQL Công suất 200W - Xám","200W","Xám"
"PNH-VDDQL","Nắp hộp nguồn đèn đường quạt DQL","(PNH) Nắp hộp","Mua hàng","PNH-VDDQLC250-GY","Nắp hộp nguồn đèn đường quạt DQL Công suất 250W - Xám","250W","Xám"
"PNH-VDDQL","Nắp hộp nguồn đèn đường quạt DQL","(PNH) Nắp hộp","Mua hàng","PNH-VDDQLC030-NO","Nắp hộp nguồn đèn đường quạt DQL Công suất 30W - Chưa sơn","30W","Chưa sơn"
"PNH-VDDQL","Nắp hộp nguồn đèn đường quạt DQL","(PNH) Nắp hộp","Mua hàng","PNH-VDDQLC050-NO","Nắp hộp nguồn đèn đường quạt DQL Công suất 50W - Chưa sơn","50W","Chưa sơn"
"PNH-VDDQL","Nắp hộp nguồn đèn đường quạt DQL","(PNH) Nắp hộp","Mua hàng","PNH-VDDQLC080-NO","Nắp hộp nguồn đèn đường quạt DQL Công suất 80W - Chưa sơn","80W","Chưa sơn"
"PNH-VDDQL","Nắp hộp nguồn đèn đường quạt DQL","(PNH) Nắp hộp","Mua hàng","PNH-VDDQLC100-NO","Nắp hộp nguồn đèn đường quạt DQL Công suất 100W - Chưa sơn","100W","Chưa sơn"
"PNH-VDDQL","Nắp hộp nguồn đèn đường quạt DQL","(PNH) Nắp hộp","Mua hàng","PNH-VDDQLC150-NO","Nắp hộp nguồn đèn đường quạt DQL Công suất 150W - Chưa sơn","150W","Chưa sơn"
"PNH-VDDQL","Nắp hộp nguồn đèn đường quạt DQL","(PNH) Nắp hộp","Mua hàng","PNH-VDDQLC200-NO","Nắp hộp nguồn đèn đường quạt DQL Công suất 200W - Chưa sơn","200W","Chưa sơn"
"PNH-VDDQL","Nắp hộp nguồn đèn đường quạt DQL","(PNH) Nắp hộp","Mua hàng","PNH-VDDQLC250-NO","Nắp hộp nguồn đèn đường quạt DQL Công suất 250W - Chưa sơn","250W","Chưa sơn"
"PNH-VDD71","Nắp che khoang nguồn đèn đường BRP371","(PNH) Nắp hộp","Mua hàng","","","",""
"PNH-VDD72","Nắp che khoang nguồn đèn đường BRP372","(PNH) Nắp hộp","Mua hàng","","","",""
"PNH-VDD73","Nắp che khoang nguồn đèn đường BRP373","(PNH) Nắp hộp","Mua hàng","","","",""
"PNH-VDD74","Nắp che khoang nguồn đèn đường BRP374","(PNH) Nắp hộp","Mua hàng","","","",""
"PNH-VDD91","Nắp che khoang nguồn đèn đường BRP391","(PNH) Nắp hộp","Mua hàng","","","",""
"PNH-VDD92","Nắp che khoang nguồn đèn đường BRP392","(PNH) Nắp hộp","Mua hàng","","","",""
"PNH-VDD94","Nắp che khoang nguồn đèn đường BRP394","(PNH) Nắp hộp","Mua hàng","","","",""
"PNH-VDD20","Nắp khoang nguồn đèn đường D20","(PNH) Nắp hộp","Mua hàng","PNH-VDD20S050-A","Nắp khoang nguồn đèn đường D20 Công suất 50W - Mẫu A","50W","Mẫu A"
"PNH-VDD20","Nắp khoang nguồn đèn đường D20","(PNH) Nắp hộp","Mua hàng","PNH-VDD20S100-A","Nắp khoang nguồn đèn đường D20 Công suất 100W - Mẫu A","100W","Mẫu A"
"PNH-VDD20","Nắp khoang nguồn đèn đường D20","(PNH) Nắp hộp","Mua hàng","PNH-VDD20S150-A","Nắp khoang nguồn đèn đường D20 Công suất 150W - Mẫu A","150W","Mẫu A"
"PNH-VDD20","Nắp khoang nguồn đèn đường D20","(PNH) Nắp hộp","Mua hàng","PNH-VDD20S200-A","Nắp khoang nguồn đèn đường D20 Công suất 200W - Mẫu A","200W","Mẫu A"
"PNH-VDD20","Nắp khoang nguồn đèn đường D20","(PNH) Nắp hộp","Mua hàng","PNH-VDD20S250-A","Nắp khoang nguồn đèn đường D20 Công suất 250W - Mẫu A","250W","Mẫu A"
"PNH-VDD20","Nắp khoang nguồn đèn đường D20","(PNH) Nắp hộp","Mua hàng","PNH-VDD20S050-B","Nắp khoang nguồn đèn đường D20 Công suất 50W - Mẫu B","50W","Mẫu B"
"PNH-VDD20","Nắp khoang nguồn đèn đường D20","(PNH) Nắp hộp","Mua hàng","PNH-VDD20S100-B","Nắp khoang nguồn đèn đường D20 Công suất 100W - Mẫu B","100W","Mẫu B"
"PNH-VDD20","Nắp khoang nguồn đèn đường D20","(PNH) Nắp hộp","Mua hàng","PNH-VDD20S150-B","Nắp khoang nguồn đèn đường D20 Công suất 150W - Mẫu B","150W","Mẫu B"
"PNH-VDD20","Nắp khoang nguồn đèn đường D20","(PNH) Nắp hộp","Mua hàng","PNH-VDD20S200-B","Nắp khoang nguồn đèn đường D20 Công suất 200W - Mẫu B","200W","Mẫu B"
"PNH-VDD20","Nắp khoang nguồn đèn đường D20","(PNH) Nắp hộp","Mua hàng","PNH-VDD20S250-B","Nắp khoang nguồn đèn đường D20 Công suất 250W - Mẫu B","250W","Mẫu B"
