"Mã sản phẩm","Tên sản phẩm","Nhóm sản phẩm","Phương pháp bổ sung","Mã biến thể","Tên biến thể","Mô tả","Công suất","Phân loại chóa"
"PPQ-VDPTC","Chóa phản quang đèn pha tròn PTC","(PPQ) Chóa phản quang","Mua hàng","PPQ-VDPTCC050","Chóa phản quang đèn pha tròn PTC Công suất 50W","","50W",""
"PPQ-VDPTC","Chóa phản quang đèn pha tròn PTC","(PPQ) Chóa phản quang","Mua hàng","PPQ-VDPTCC250","Chóa phản quang đèn pha tròn PTC Công suất 250W","Dùng cho 100-250W","250W",""
"PPQ-VDPTC","Chóa phản quang đèn pha tròn PTC","(PPQ) Chóa phản quang","Mua hàng","PPQ-VDPTCC600","Chóa phản quang đèn pha tròn PTC Công suất 600W","Dùng cho 300-600W","600W",""
"PPQ-VDPTR","Chóa phản quang đèn pha chóa rộng PTR","(PPQ) Chóa phản quang","Mua hàng","PPQ-VDPTRC010","Chóa phản quang đèn pha chóa rộng PTR Công suất 10W","","10W",""
"PPQ-VDPTR","Chóa phản quang đèn pha chóa rộng PTR","(PPQ) Chóa phản quang","Mua hàng","PPQ-VDPTRC020","Chóa phản quang đèn pha chóa rộng PTR Công suất 20W","","20W",""
"PPQ-VDPTR","Chóa phản quang đèn pha chóa rộng PTR","(PPQ) Chóa phản quang","Mua hàng","PPQ-VDPTRC030","Chóa phản quang đèn pha chóa rộng PTR Công suất 30W","","30W",""
"PPQ-VDPTR","Chóa phản quang đèn pha chóa rộng PTR","(PPQ) Chóa phản quang","Mua hàng","PPQ-VDPTRC050","Chóa phản quang đèn pha chóa rộng PTR Công suất 50W","","50W",""
"PPQ-VDPTR","Chóa phản quang đèn pha chóa rộng PTR","(PPQ) Chóa phản quang","Mua hàng","PPQ-VDPTRC100","Chóa phản quang đèn pha chóa rộng PTR Công suất 100W","","100W",""
"PPQ-VDPTR","Chóa phản quang đèn pha chóa rộng PTR","(PPQ) Chóa phản quang","Mua hàng","PPQ-VDPTRC150","Chóa phản quang đèn pha chóa rộng PTR Công suất 150W","","150W",""
"PPQ-VDPTR","Chóa phản quang đèn pha chóa rộng PTR","(PPQ) Chóa phản quang","Mua hàng","PPQ-VDPTRC200","Chóa phản quang đèn pha chóa rộng PTR Công suất 200W","","200W",""
"PPQ-VDPTR","Chóa phản quang đèn pha chóa rộng PTR","(PPQ) Chóa phản quang","Mua hàng","PPQ-VDPTRC300","Chóa phản quang đèn pha chóa rộng PTR Công suất 300W","","300W",""
"PPQ-VDPTR","Chóa phản quang đèn pha chóa rộng PTR","(PPQ) Chóa phản quang","Mua hàng","PPQ-VDPTRC400","Chóa phản quang đèn pha chóa rộng PTR Công suất 400W","","400W",""
"PPQ-VDPXH","Chóa phản quang đèn pha rọi xám PXH","(PPQ) Chóa phản quang","Mua hàng","PPQ-VDPXHC010","Chóa phản quang đèn pha rọi xám PXH Công suất 10W","","10W",""
