"Mã sản phẩm","Tên sản phẩm","Nhóm sản phẩm","Phương pháp bổ sung","Mã biến thể","Tên biến thể","Công suất","Phân loại quai"
"PQU-VDPTC","Quai dùng chung PTC/PTR","(PQU) Quai đèn","Mua hàng","PQU-VDPTCC050","Quai dùng chung PTC/PTR Công suất 50W","50W",""
"PQU-VDPTC","Quai dùng chung PTC/PTR","(PQU) Quai đèn","Mua hàng","PQU-VDPTCC100","Quai dùng chung PTC/PTR Công suất 100W","100W",""
"PQU-VDPTC","Quai dùng chung PTC/PTR","(PQU) Quai đèn","Mua hàng","PQU-VDPTCC150","Quai dùng chung PTC/PTR Công suất 150W","150W",""
"PQU-VDPTC","Quai dùng chung PTC/PTR","(PQU) Quai đèn","Mua hàng","PQU-VDPTCC200","Quai dùng chung PTC/PTR Công suất 200W","200W",""
"PQU-VDPTC","Quai dùng chung PTC/PTR","(PQU) Quai đèn","Mua hàng","PQU-VDPTCC250","Quai dùng chung PTC/PTR Công suất 250W","250W",""
"PQU-VDPTC","Quai dùng chung PTC/PTR","(PQU) Quai đèn","Mua hàng","PQU-VDPTCC300","Quai dùng chung PTC/PTR Công suất 300W","300W",""
"PQU-VDPTC","Quai dùng chung PTC/PTR","(PQU) Quai đèn","Mua hàng","PQU-VDPTCC400","Quai dùng chung PTC/PTR Công suất 400W","400W",""
"PQU-VDPTC","Quai dùng chung PTC/PTR","(PQU) Quai đèn","Mua hàng","PQU-VDPTCC500","Quai dùng chung PTC/PTR Công suất 500W","500W",""
"PQU-VDPTC","Quai dùng chung PTC/PTR","(PQU) Quai đèn","Mua hàng","PQU-VDPTCC600","Quai dùng chung PTC/PTR Công suất 600W","600W",""
"PQU-VDPTR","Quai đèn pha chóa rộng PTR","(PQU) Quai đèn","Mua hàng","PQU-VDPTRC010","Quai đèn pha chóa rộng PTR Công suất 10W","10W",""
"PQU-VDPTR","Quai đèn pha chóa rộng PTR","(PQU) Quai đèn","Mua hàng","PQU-VDPTRC020","Quai đèn pha chóa rộng PTR Công suất 20W","20W",""
"PQU-VDPTR","Quai đèn pha chóa rộng PTR","(PQU) Quai đèn","Mua hàng","PQU-VDPTRC030","Quai đèn pha chóa rộng PTR Công suất 30W","30W",""
"PQU-VDPXH","Quai đèn pha rọi xám PXH","(PQU) Quai đèn","Mua hàng","PQU-VDPXHC010","Quai đèn pha rọi xám PXH Công suất 10W","10W",""
"PQU-VDPXH","Quai đèn pha rọi xám PXH","(PQU) Quai đèn","Mua hàng","PQU-VDPXHC020","Quai đèn pha rọi xám PXH Công suất 20W","20W",""
"PQU-VDPXH","Quai đèn pha rọi xám PXH","(PQU) Quai đèn","Mua hàng","PQU-VDPXHC030","Quai đèn pha rọi xám PXH Công suất 30W","30W",""
"PQU-VDPXH","Quai đèn pha rọi xám PXH","(PQU) Quai đèn","Mua hàng","PQU-VDPXHC050","Quai đèn pha rọi xám PXH Công suất 50W","50W",""
"PQU-VDPXH","Quai đèn pha rọi xám PXH","(PQU) Quai đèn","Mua hàng","PQU-VDPXHC100","Quai đèn pha rọi xám PXH Công suất 100W","100W",""
"PQU-VDPXH","Quai đèn pha rọi xám PXH","(PQU) Quai đèn","Mua hàng","PQU-VDPXHC150","Quai đèn pha rọi xám PXH Công suất 150W","150W",""
"PQU-VDPXH","Quai đèn pha rọi xám PXH","(PQU) Quai đèn","Mua hàng","PQU-VDPXHC200","Quai đèn pha rọi xám PXH Công suất 200W","200W",""
"PQU-VDPXH","Quai đèn pha rọi xám PXH","(PQU) Quai đèn","Mua hàng","PQU-VDPXHC250","Quai đèn pha rọi xám PXH Công suất 250W","250W",""
"PQU-VDPXH","Quai đèn pha rọi xám PXH","(PQU) Quai đèn","Mua hàng","PQU-VDPXHC300","Quai đèn pha rọi xám PXH Công suất 300W","300W",""
"PQU-VDPXH","Quai đèn pha rọi xám PXH","(PQU) Quai đèn","Mua hàng","PQU-VDPXHC400","Quai đèn pha rọi xám PXH Công suất 400W","400W",""
"PQU-VDPXH","Quai đèn pha rọi xám PXH","(PQU) Quai đèn","Mua hàng","PQU-VDPXHC500","Quai đèn pha rọi xám PXH Công suất 500W","500W",""
"PQU-VDPTV","Quai đèn pha vuông PTV","(PQU) Quai đèn","Mua hàng","PQU-VDPTVC100","Quai đèn pha vuông PTV Công suất 100W","100W",""
"PQU-VDPTV","Quai đèn pha vuông PTV","(PQU) Quai đèn","Mua hàng","PQU-VDPTVC150","Quai đèn pha vuông PTV Công suất 150W","150W",""
