"Mã sản phẩm","Tên sản phẩm","Nhóm sản phẩm","Phương pháp bổ sung","Mã biến thể","Tên biến thể","Công suất","Phân loại tai"
"PTA-VDPCC","Tai đèn pha cầu cảng PCC","(PTA) Tai","Mua hàng","PTA-VDPCCS400-BK","Tai đèn pha cầu cảng PCC Công suất 400W - Đen","400W","Đen"
"PTA-VDPCC","Tai đèn pha cầu cảng PCC","(PTA) Tai","Mua hàng","PTA-VDPCCS600-GY","Tai đèn pha cầu cảng PCC Công suất 600W - Xám","600W","Xám"
"PTA-VDPCC","Tai đèn pha cầu cảng PCC","(PTA) Tai","Mua hàng","PTA-VDPCCS1K0-GY","Tai đèn pha cầu cảng PCC Công suất 1000W - Xám","1000W","Xám"
"PTA-VDPCT","Tai đèn pha cẩu tháp PCT","(PTA) Tai","Mua hàng","PTA-VDPCTS500","Tai đèn pha cẩu tháp PCT Công suất 500W","500W",""
"PTA-VDPCT","Tai đèn pha cẩu tháp PCT","(PTA) Tai","Mua hàng","PTA-VDPCTS1K0","Tai đèn pha cẩu tháp PCT Công suất 1000W","1000W",""
"PTA-VDPCT","Tai đèn pha cẩu tháp PCT","(PTA) Tai","Mua hàng","PTA-VDPCTS1K5","Tai đèn pha cẩu tháp PCT Công suất 1500W","1500W",""
"PTA-VDPVD","Tai đèn pha sân vận động PVD","(PTA) Tai","Mua hàng","PTA-VDPVDS200","Tai đèn pha sân vận động PVD Công suất 200W","200W",""
"PTA-VDPVD","Tai đèn pha sân vận động PVD","(PTA) Tai","Mua hàng","PTA-VDPVDS600","Tai đèn pha sân vận động PVD Công suất 600W","600W",""
"PTA-VDPVD","Tai đèn pha sân vận động PVD","(PTA) Tai","Mua hàng","PTA-VDPVDS1K0","Tai đèn pha sân vận động PVD Công suất 1000W","1000W",""
"PTA-VDNP1","Tai đèn phòng nổ pha NP1","(PTA) Tai","Mua hàng","PTA-VDNP1-YL","Tai đèn phòng nổ pha NP1 - Vàng","","Vàng"
"PTA-VDNP1","Tai đèn phòng nổ pha NP1","(PTA) Tai","Mua hàng","PTA-VDNP1-MG","Tai đèn phòng nổ pha NP1 - Xanh rêu","","Xanh rêu"
"PTA-VDP04","Tai đèn pha module P04 SMD","(PTA) Tai","Mua hàng","PTA-VDP04-L","Tai đèn pha module P04 SMD - To","","To"
"PTA-VDP04","Tai đèn pha module P04 SMD","(PTA) Tai","Mua hàng","PTA-VDP04-S","Tai đèn pha module P04 SMD - Nhỏ","","Nhỏ"
