"Mã sản phẩm","Tên sản phẩm","Nhóm sản phẩm","Phương pháp bổ sung","Mã biến thể","Tên biến thể","Đơn vị tính","Công suất","Phân loại gioăng"
"PZN-VDD01","Gioăng khoang nguồn đèn đường D01","(PZN) Gioăng viền/hộp nguồn","Mua hàng","","","Cái","",""
"PZN-VDD02","Gioăng khoang nguồn đèn đường D02","(PZN) Gioăng viền/hộp nguồn","Mua hàng","","","Cái","",""
"PZN-VDD03","Gioăng khoang nguồn đèn đường D03","(PZN) Gioăng viền/hộp nguồn","Mua hàng","","","Cái","",""
"PZN-VDD05","Gioăng khoang nguồn đèn đường D05","(PZN) Gioăng viền/hộp nguồn","Mua hàng","","","Cái","",""
"PZN-VDD06","Gioăng khoang nguồn đèn đường D06","(PZN) Gioăng viền/hộp nguồn","Mua hàng","","","Cái","",""
"PZN-VDDQL","Gioăng hộp nguồn đèn đường quạt DQL","(PZN) Gioăng viền/hộp nguồn","Mua hàng","PZN-VDDQLC030","Gioăng hộp nguồn đèn đường quạt DQL Công suất 30W","Cái","30W",""
"PZN-VDDQL","Gioăng hộp nguồn đèn đường quạt DQL","(PZN) Gioăng viền/hộp nguồn","Mua hàng","PZN-VDDQLC050","Gioăng hộp nguồn đèn đường quạt DQL Công suất 50W","Cái","50W",""
"PZN-VDDQL","Gioăng hộp nguồn đèn đường quạt DQL","(PZN) Gioăng viền/hộp nguồn","Mua hàng","PZN-VDDQLC080","Gioăng hộp nguồn đèn đường quạt DQL Công suất 80W","Cái","80W",""
"PZN-VDDQL","Gioăng hộp nguồn đèn đường quạt DQL","(PZN) Gioăng viền/hộp nguồn","Mua hàng","PZN-VDDQLC100","Gioăng hộp nguồn đèn đường quạt DQL Công suất 100W","Cái","100W",""
"PZN-VDDQL","Gioăng hộp nguồn đèn đường quạt DQL","(PZN) Gioăng viền/hộp nguồn","Mua hàng","PZN-VDDQLC150","Gioăng hộp nguồn đèn đường quạt DQL Công suất 150W","Cái","150W",""
"PZN-VDDQL","Gioăng hộp nguồn đèn đường quạt DQL","(PZN) Gioăng viền/hộp nguồn","Mua hàng","PZN-VDDQLC200","Gioăng hộp nguồn đèn đường quạt DQL Công suất 200W","Cái","200W",""
"PZN-VDDQL","Gioăng hộp nguồn đèn đường quạt DQL","(PZN) Gioăng viền/hộp nguồn","Mua hàng","PZN-VDDQLC250","Gioăng hộp nguồn đèn đường quạt DQL Công suất 250W","Cái","250W",""
"PZN-VDD71","Gioăng khoang nguồn đèn đường BRP371","(PZN) Gioăng viền/hộp nguồn","Mua hàng","","","Cái","",""
"PZN-VDD72","Gioăng khoang nguồn đèn đường BRP372","(PZN) Gioăng viền/hộp nguồn","Mua hàng","","","Cái","",""
"PZN-VDD73","Gioăng khoang nguồn đèn đường BRP373","(PZN) Gioăng viền/hộp nguồn","Mua hàng","","","Cái","",""
"PZN-VDD74","Gioăng khoang nguồn đèn đường BRP374","(PZN) Gioăng viền/hộp nguồn","Mua hàng","","","Cái","",""
"PZN-VDD91","Gioăng khoang nguồn đèn đường BRP391","(PZN) Gioăng viền/hộp nguồn","Mua hàng","","","Cái","",""
"PZN-VDD92","Gioăng khoang nguồn đèn đường BRP392","(PZN) Gioăng viền/hộp nguồn","Mua hàng","","","Cái","",""
"PZN-VDD94","Gioăng khoang nguồn đèn đường BRP394","(PZN) Gioăng viền/hộp nguồn","Mua hàng","","","Cái","",""
"PZN-VDD20","Gioăng khoang nguồn đèn đường D20","(PZN) Gioăng viền/hộp nguồn","Mua hàng","PZN-VDD20S050-A","Gioăng khoang nguồn đèn đường D20 Công suất 50W - Mẫu A","Cái","50W","Mẫu A"
"PZN-VDD20","Gioăng khoang nguồn đèn đường D20","(PZN) Gioăng viền/hộp nguồn","Mua hàng","PZN-VDD20S100-A","Gioăng khoang nguồn đèn đường D20 Công suất 100W - Mẫu A","Cái","100W","Mẫu A"
"PZN-VDD20","Gioăng khoang nguồn đèn đường D20","(PZN) Gioăng viền/hộp nguồn","Mua hàng","PZN-VDD20S150-A","Gioăng khoang nguồn đèn đường D20 Công suất 150W - Mẫu A","Cái","150W","Mẫu A"
"PZN-VDD20","Gioăng khoang nguồn đèn đường D20","(PZN) Gioăng viền/hộp nguồn","Mua hàng","PZN-VDD20S200-A","Gioăng khoang nguồn đèn đường D20 Công suất 200W - Mẫu A","Cái","200W","Mẫu A"
"PZN-VDD20","Gioăng khoang nguồn đèn đường D20","(PZN) Gioăng viền/hộp nguồn","Mua hàng","PZN-VDD20S250-A","Gioăng khoang nguồn đèn đường D20 Công suất 250W - Mẫu A","Cái","250W","Mẫu A"
"PZN-VDD20","Gioăng khoang nguồn đèn đường D20","(PZN) Gioăng viền/hộp nguồn","Mua hàng","PZN-VDD20S050-B","Gioăng khoang nguồn đèn đường D20 Công suất 50W - Mẫu B","Cái","50W","Mẫu B"
"PZN-VDD20","Gioăng khoang nguồn đèn đường D20","(PZN) Gioăng viền/hộp nguồn","Mua hàng","PZN-VDD20S100-B","Gioăng khoang nguồn đèn đường D20 Công suất 100W - Mẫu B","Cái","100W","Mẫu B"
"PZN-VDD20","Gioăng khoang nguồn đèn đường D20","(PZN) Gioăng viền/hộp nguồn","Mua hàng","PZN-VDD20S150-B","Gioăng khoang nguồn đèn đường D20 Công suất 150W - Mẫu B","Cái","150W","Mẫu B"
"PZN-VDD20","Gioăng khoang nguồn đèn đường D20","(PZN) Gioăng viền/hộp nguồn","Mua hàng","PZN-VDD20S200-B","Gioăng khoang nguồn đèn đường D20 Công suất 200W - Mẫu B","Cái","200W","Mẫu B"
