"Mã sản phẩm","Tên sản phẩm","Nhóm sản phẩm","Phương pháp bổ sung","Mã biến thể","Tên biến thể","Đơn vị tính","Loại pin","Kích thước pin","Dung lượng pin","Điện áp",""
"TSE-PIN","Pin","(TSE) Nhóm linh phụ kiện công nghệ NLMT","Mua hàng","TSE-PIN-LFP32700-6Ah-3.2V","Pin LiFePO4, 32700, Dung lượng pin 6Ah, Điện áp 3.2V","Viên","LiFePO4","32700","6Ah","3.2V",""
"TSE-PIN","Pin","(TSE) Nhóm linh phụ kiện công nghệ NLMT","Mua hàng","TSE-PIN-LFP32700-5.5Ah-3.2V","Pin LiFePO4, 32700, Dung lượng pin 5.5Ah, Điện áp 3.2V","Viên","LiFePO4","32700","5.5Ah","3.2V",""
"Mã sản phẩm","Tên sản phẩm","Nhóm sản phẩm","Phương pháp bổ sung","Mã biến thể","Tên biến thể","Đơn vị tính","Brand","Model","Phân loại","Công suất bộ điều khiển","Hệ pin"
"TSE-BDK","Bộ điều khiển","(TSE) Nhóm linh phụ kiện công nghệ NLMT","Mua hàng","TSE-BDK-SR-SN40-W","Bộ điều khiển - SRNE SR-SN40-W (Solar), Công suất 40W, Hệ 12V","Cái","SRNE","SR-SN40-W","Solar","40W","12V"
"TSE-BDK","Bộ điều khiển","(TSE) Nhóm linh phụ kiện công nghệ NLMT","Mua hàng","TSE-BDK-SR-DM80-W","Bộ điều khiển - SRNE SR-DM80-W (Solar), Công suất 80W, Hệ 12V","Cái","SRNE","SR-DM80-W","Solar","80W","12V"
"TSE-BDK","Bộ điều khiển","(TSE) Nhóm linh phụ kiện công nghệ NLMT","Mua hàng","TSE-BDK-SR-MEH160-W","Bộ điều khiển - SRNE SR-MEH160-W (Hybrid), Công suất 80W/160W, Hệ 12V/24V","Cái","SRNE","SR-MEH160-W","Hybrid","80W/160W","12V/24V"
"TSE-BDK","Bộ điều khiển","(TSE) Nhóm linh phụ kiện công nghệ NLMT","Mua hàng","TSE-BDK-SR-MEH200-W","Bộ điều khiển - SRNE SR-MEH200-W (Hybrid), Công suất 100W/200W, Hệ 12V/24V","Cái","SRNE","SR-MEH200-W","Hybrid","100W/200W","12V/24V"
"TSE-BDK","Bộ điều khiển","(TSE) Nhóm linh phụ kiện công nghệ NLMT","Mua hàng","TSE-BDK-18/3.2V","Bộ điều khiển - HK 18/3.2V (Solar), Công suất 18W, Hệ 3.2V","Cái","HK","18/3.2V","Solar","18W","3.2V"
"TSE-BDK","Bộ điều khiển","(TSE) Nhóm linh phụ kiện công nghệ NLMT","Mua hàng","TSE-BDK-26/3.2V","Bộ điều khiển - HK 26/3.2V (Solar), Công suất 26W, Hệ 3.2V","Cái","HK","26/3.2V","Solar","26W","3.2V"
"Mã sản phẩm","Tên sản phẩm","Nhóm sản phẩm","Phương pháp bổ sung","Mã biến thể","Tên biến thể","Đơn vị tính","Loại tấm pin","Công suất","Kích thước","Điện áp",""
"TSE-TSL","Tấm pin NLMT","(TSE) Nhóm linh phụ kiện công nghệ NLMT","Mua hàng","TSE-TSL-100W/18V-900x670x30","Tấm pin NLMT - Mono 100W (900x670x30mm), Điện áp 18V","Tấm","Mono","100W","900x670x30mm","18V",""
"TSE-TSL","Tấm pin NLMT","(TSE) Nhóm linh phụ kiện công nghệ NLMT","Mua hàng","TSE-TSL-100W/18V-940x670x30","Tấm pin NLMT - Mono 100W (940x670x30mm), Điện áp 18V","Tấm","Mono","100W","940x670x30mm","18V",""
"TSE-TSL","Tấm pin NLMT","(TSE) Nhóm linh phụ kiện công nghệ NLMT","Mua hàng","TSE-TSL-150W/18V-1210x670x30","Tấm pin NLMT - Mono 150W (1210x670x30mm), Điện áp 18V","Tấm","Mono","150W","1210x670x30mm","18V",""
"TSE-TSL","Tấm pin NLMT","(TSE) Nhóm linh phụ kiện công nghệ NLMT","Mua hàng","TSE-TSL-150W/18V-1300x670x30","Tấm pin NLMT - Mono 150W (1300x670x30mm), Điện áp 18V","Tấm","Mono","150W","1300x670x30mm","18V",""
"TSE-TSL","Tấm pin NLMT","(TSE) Nhóm linh phụ kiện công nghệ NLMT","Mua hàng","TSE-TSL-200W/18V-1480x670x30","Tấm pin NLMT - Mono 200W (1480x670x30mm), Điện áp 18V","Tấm","Mono","200W","1480x670x30mm","18V",""
"TSE-TSL","Tấm pin NLMT","(TSE) Nhóm linh phụ kiện công nghệ NLMT","Mua hàng","TSE-TSL-200W/18V-1580x670x30","Tấm pin NLMT - Mono 200W (1580x670x30mm), Điện áp 18V","Tấm","Mono","200W","1580x670x30mm","18V",""
"TSE-TSL","Tấm pin NLMT","(TSE) Nhóm linh phụ kiện công nghệ NLMT","Mua hàng","TSE-TSL-50W/6V-450x670x30","Tấm pin NLMT - Mono 50W (450x670x30mm), Điện áp 6V","Tấm","Mono","50W","450x670x30mm","6V",""
"Mã sản phẩm","Tên sản phẩm","Nhóm sản phẩm","Phương pháp bổ sung","Mã biến thể","Tên biến thể","Đơn vị tính","Công suất","Dung lượng pin","Hệ pin","",""
"TSE-PSL","Bộ pin NLMT","(TSE) Nhóm linh phụ kiện công nghệ NLMT","Sản xuất","TSE-PSL040-18Ah/12.8","Bộ pin NLMT 40W, 18Ah, 12.8V","Bộ","40W","18Ah","12.8V","",""
"TSE-PSL","Bộ pin NLMT","(TSE) Nhóm linh phụ kiện công nghệ NLMT","Sản xuất","TSE-PSL040-24Ah/12.8","Bộ pin NLMT 40W, 24Ah, 12.8V","Bộ","40W","24Ah","12.8V","",""
"TSE-PSL","Bộ pin NLMT","(TSE) Nhóm linh phụ kiện công nghệ NLMT","Sản xuất","TSE-PSL040-30Ah/12.8","Bộ pin NLMT 40W, 30Ah, 12.8V","Bộ","40W","30Ah","12.8V","",""
"TSE-PSL","Bộ pin NLMT","(TSE) Nhóm linh phụ kiện công nghệ NLMT","Sản xuất","TSE-PSL040-36Ah/12.8","Bộ pin NLMT 40W, 36Ah, 12.8V","Bộ","40W","36Ah","12.8V","",""
"TSE-PSL","Bộ pin NLMT","(TSE) Nhóm linh phụ kiện công nghệ NLMT","Sản xuất","TSE-PSL040-42Ah/12.8","Bộ pin NLMT 40W, 42Ah, 12.8V","Bộ","40W","42Ah","12.8V","",""
"TSE-PSL","Bộ pin NLMT","(TSE) Nhóm linh phụ kiện công nghệ NLMT","Sản xuất","TSE-PSL040-48Ah/12.8","Bộ pin NLMT 40W, 48Ah, 12.8V","Bộ","40W","48Ah","12.8V","",""
"TSE-PSL","Bộ pin NLMT","(TSE) Nhóm linh phụ kiện công nghệ NLMT","Sản xuất","TSE-PSL060-30Ah/12.8","Bộ pin NLMT 60W, 30Ah, 12.8V","Bộ","60W","30Ah","12.8V","",""
"TSE-PSL","Bộ pin NLMT","(TSE) Nhóm linh phụ kiện công nghệ NLMT","Sản xuất","TSE-PSL060-36Ah/12.8","Bộ pin NLMT 60W, 36Ah, 12.8V","Bộ","60W","36Ah","12.8V","",""
"TSE-PSL","Bộ pin NLMT","(TSE) Nhóm linh phụ kiện công nghệ NLMT","Sản xuất","TSE-PSL060-42Ah/12.8","Bộ pin NLMT 60W, 42Ah, 12.8V","Bộ","60W","42Ah","12.8V","",""
"TSE-PSL","Bộ pin NLMT","(TSE) Nhóm linh phụ kiện công nghệ NLMT","Sản xuất","TSE-PSL060-48Ah/12.8","Bộ pin NLMT 60W, 48Ah, 12.8V","Bộ","60W","48Ah","12.8V","",""
"TSE-PSL","Bộ pin NLMT","(TSE) Nhóm linh phụ kiện công nghệ NLMT","Sản xuất","TSE-PSL060-54Ah/12.8","Bộ pin NLMT 60W, 54Ah, 12.8V","Bộ","60W","54Ah","12.8V","",""
"TSE-PSL","Bộ pin NLMT","(TSE) Nhóm linh phụ kiện công nghệ NLMT","Sản xuất","TSE-PSL060-60Ah/12.8","Bộ pin NLMT 60W, 60Ah, 12.8V","Bộ","60W","60Ah","12.8V","",""
