"Mã sản phẩm","Item Group","Tên sản phẩm","Phương pháp bổ sung","Mã đặc tính","Tên đặc tính","Công suất","Phân loại gioăng"
"PZK-MDS","(PZK) Gioăng kính/Lens","Gioăng lens module SMD","Mua hàng","PZK-M30S050-64L","Gioăng lens module SMD 3030 Công suất 50W - 64 LED","50","64 LED"
"PZK-MDS","(PZK) Gioăng kính/Lens","Gioăng lens module SMD","Mua hàng","PZK-M30S050-56L","Gioăng lens module SMD 3030 Công suất 50W - 56 LED","50","56 LED"
"PZK-MDS","(PZK) Gioăng kính/Lens","Gioăng lens module SMD","Mua hàng","PZK-M50S050-16L","Gioăng lens module SMD 5050 Công suất 50W - 16 LED","50","16 LED"
"PZK-MDS","(PZK) Gioăng kính/Lens","Gioăng lens module SMD","Mua hàng","PZK-M30S030-30L","Gioăng lens module SMD 3030 Công suất 30W - 30 LED","30","30 LED"
"PZK-MDS","(PZK) Gioăng kính/Lens","Gioăng lens module SMD","Mua hàng","PZK-M30S200-288L","Gioăng lens module SMD 3030 Công suất 200W","200","288 LED"
"PZK-MDC","(PZK) Gioăng kính/Lens","Gioăng lens module COB","Mua hàng","PZK-M30C050","Gioăng lens module COB 3030 Công suất 50W","50",""
"PZK-MDC","(PZK) Gioăng kính/Lens","Gioăng lens module COB","Mua hàng","PZK-M30C100","Gioăng lens module COB 3030 Công suất 100W","100",""
"PZK-VDPTR","(PZK) Gioăng kính/Lens","Gioăng kính đèn pha chóa rộng PTR","Mua hàng","PZK-VDPTRC010","Gioăng kính đèn pha chóa rộng PTR Công suất 10W","10",""
"PZK-VDPTR","(PZK) Gioăng kính/Lens","Gioăng kính đèn pha chóa rộng PTR","Mua hàng","PZK-VDPTRC020","Gioăng kính đèn pha chóa rộng PTR Công suất 20W","20",""
"PZK-VDPTR","(PZK) Gioăng kính/Lens","Gioăng kính đèn pha chóa rộng PTR","Mua hàng","PZK-VDPTRC030","Gioăng kính đèn pha chóa rộng PTR Công suất 30W","30",""
"PZK-VDPT","(PZK) Gioăng kính/Lens","Gioăng kính đèn pha dùng chung PTC/PTR","Mua hàng","PZK-VDPTC050","Gioăng kính đèn pha dùng chung PTC/PTR Công suất 50W","50",""
"PZK-VDPT","(PZK) Gioăng kính/Lens","Gioăng kính đèn pha dùng chung PTC/PTR","Mua hàng","PZK-VDPTC100","Gioăng kính đèn pha dùng chung PTC/PTR Công suất 100W","100",""
"PZK-VDPT","(PZK) Gioăng kính/Lens","Gioăng kính đèn pha dùng chung PTC/PTR","Mua hàng","PZK-VDPTC250","Gioăng kính đèn pha dùng chung PTC/PTR Công suất 150-250W","250",""
"PZK-VDPT","(PZK) Gioăng kính/Lens","Gioăng kính đèn pha dùng chung PTC/PTR","Mua hàng","PZK-VDPTC300","Gioăng kính đèn pha dùng chung PTC/PTR Công suất 300W","300",""
"PZK-VDPT","(PZK) Gioăng kính/Lens","Gioăng kính đèn pha dùng chung PTC/PTR","Mua hàng","PZK-VDPTC400","Gioăng kính đèn pha dùng chung PTC/PTR Công suất 400W","400",""
