"Mã sản phẩm","Item Group","Tên sản phẩm","Phương pháp bổ sung","Mã đặc tính","Tên đặc tính","Mô tả","Kích thước","Thương hiệu"
"HCT","(HCT) Hộp carton","Hộp carton","Mua hàng","HCT-1000x380x160mm-HK","Hộp carton 1000x380x160mm - Thương hiệu: HKLED","Sử dụng cho: DD01S300 | DD02S300 | DDQLC200 | DPTCC600 | DP04S800","1000x380x160mm","HKLED"
"HCT","(HCT) Hộp carton","Hộp carton","Mua hàng","HCT-1000x380x160mm-NO","Hộp carton 1000x380x160mm - Thương hiệu: Không có thương hiệu","Sử dụng cho: DD01S300 | DD02S300 | DDQLC200 | DPTCC600 | DP04S800","1000x380x160mm","Không có thương hiệu"
"HCT","(HCT) Hộp carton","Hộp carton","Mua hàng","HCT-1000x500x160mm-HK","Hộp carton 1000x500x160mm - Thương hiệu: HKLED","Sử dụng cho: DP04S1K2","1000x500x160mm","HKLED"
"HCT","(HCT) Hộp carton","Hộp carton","Mua hàng","HCT-1000x500x160mm-NO","Hộp carton 1000x500x160mm - Thương hiệu: Không có thương hiệu","Sử dụng cho: DP04S1K2","1000x500x160mm","Không có thương hiệu"
"HCT","(HCT) Hộp carton","Hộp carton","Mua hàng","HCT-1000x660x160mm-HK","Hộp carton 1000x660x160mm - Thương hiệu: HKLED","Sử dụng cho: DP04S1K6","1000x660x160mm","HKLED"
"HCT","(HCT) Hộp carton","Hộp carton","Mua hàng","HCT-1000x660x160mm-NO","Hộp carton 1000x660x160mm - Thương hiệu: Không có thương hiệu","Sử dụng cho: DP04S1K6","1000x660x160mm","Không có thương hiệu"
"HCT","(HCT) Hộp carton","Hộp carton","Mua hàng","HCT-1000x830x160mm-HK","Hộp carton 1000x830x160mm - Thương hiệu: HKLED","Sử dụng cho: DP04S2K0","1000x830x160mm","HKLED"
"HCT","(HCT) Hộp carton","Hộp carton","Mua hàng","HCT-1000x830x160mm-NO","Hộp carton 1000x830x160mm - Thương hiệu: Không có thương hiệu","Sử dụng cho: DP04S2K0","1000x830x160mm","Không có thương hiệu"
"HCT","(HCT) Hộp carton","Hộp carton","Mua hàng","HCT-1100x380x110mm-HK","Hộp carton 1100x380x110mm - Thương hiệu: HKLED","Sử dụng cho: DDQLC250","1100x380x110mm","HKLED"
"HCT","(HCT) Hộp carton","Hộp carton","Mua hàng","HCT-1100x380x110mm-NO","Hộp carton 1100x380x110mm - Thương hiệu: Không có thương hiệu","Sử dụng cho: DDQLC250","1100x380x110mm","Không có thương hiệu"
"HCT","(HCT) Hộp carton","Hộp carton","Mua hàng","HCT-1230x350x240mm-HK","Hộp carton 1230x350x240mm - Thương hiệu: HKLED","Sử dụng cho: DIPN 300x1200","1230x350x240mm","HKLED"
"HCT","(HCT) Hộp carton","Hộp carton","Mua hàng","HCT-1230x350x240mm-NO","Hộp carton 1230x350x240mm - Thương hiệu: Không có thương hiệu","Sử dụng cho: DIPN 300x1200","1230x350x240mm","Không có thương hiệu"
"HCT","(HCT) Hộp carton","Hộp carton","Mua hàng","HCT-220x220x210mm-HK","Hộp carton 220x220x210mm - Thương hiệu: HKLED","Sử dụng cho: DXHBC050","220x220x210mm","HKLED"
"HCT","(HCT) Hộp carton","Hộp carton","Mua hàng","HCT-220x220x210mm-NO","Hộp carton 220x220x210mm - Thương hiệu: Không có thương hiệu","Sử dụng cho: DXHBC050","220x220x210mm","Không có thương hiệu"
"HCT","(HCT) Hộp carton","Hộp carton","Mua hàng","HCT-220x220x310mm-HK","Hộp carton 220x220x310mm - Thương hiệu: HKLED","Sử dụng cho: DXHBC100","220x220x310mm","HKLED"
"HCT","(HCT) Hộp carton","Hộp carton","Mua hàng","HCT-220x220x310mm-NO","Hộp carton 220x220x310mm - Thương hiệu: Không có thương hiệu","Sử dụng cho: DXHBC100","220x220x310mm","Không có thương hiệu"
"HCT","(HCT) Hộp carton","Hộp carton","Mua hàng","HCT-255x255x185mm-HK","Hộp carton 255x255x185mm - Thương hiệu: HKLED","Sử dụng cho: DX01S050 | DNU1C050","255x255x185mm","HKLED"
"HCT","(HCT) Hộp carton","Hộp carton","Mua hàng","HCT-255x255x185mm-NO","Hộp carton 255x255x185mm - Thương hiệu: Không có thương hiệu","Sử dụng cho: DX01S050 | DNU1C050","255x255x185mm","Không có thương hiệu"
"HCT","(HCT) Hộp carton","Hộp carton","Mua hàng","HCT-280x280x360mm-HK","Hộp carton 280x280x360mm - Thương hiệu: HKLED","Sử dụng cho: DXHBC150 | DXHBC200","280x280x360mm","HKLED"
"HCT","(HCT) Hộp carton","Hộp carton","Mua hàng","HCT-280x280x360mm-NO","Hộp carton 280x280x360mm - Thương hiệu: Không có thương hiệu","Sử dụng cho: DXHBC150 | DXHBC200","280x280x360mm","Không có thương hiệu"
"HCT","(HCT) Hộp carton","Hộp carton","Mua hàng","HCT-320x320x160mm-HK","Hộp carton 320x320x160mm - Thương hiệu: HKLED","Sử dụng cho: DX01S100 | DX03S100 | DNU1C100","320x320x160mm","HKLED"
"HCT","(HCT) Hộp carton","Hộp carton","Mua hàng","HCT-320x320x160mm-NO","Hộp carton 320x320x160mm - Thương hiệu: Không có thương hiệu","Sử dụng cho: DX01S100 | DX03S100 | DNU1C100","320x320x160mm","Không có thương hiệu"
"HCT","(HCT) Hộp carton","Hộp carton","Mua hàng","HCT-360x240x185mm-HK","Hộp carton 360x240x185mm - Thương hiệu: HKLED","Sử dụng cho: DP02S050 | DP02S100 | DP03S050 | DP03S100","360x240x185mm","HKLED"
"HCT","(HCT) Hộp carton","Hộp carton","Mua hàng","HCT-360x240x185mm-NO","Hộp carton 360x240x185mm - Thương hiệu: Không có thương hiệu","Sử dụng cho: DP02S050 | DP02S100 | DP03S050 | DP03S100","360x240x185mm","Không có thương hiệu"
"HCT","(HCT) Hộp carton","Hộp carton","Mua hàng","HCT-360x300x185mm-HK","Hộp carton 360x300x185mm - Thương hiệu: HKLED","Sử dụng cho: DP02S150 | DP03S150","360x300x185mm","HKLED"
"HCT","(HCT) Hộp carton","Hộp carton","Mua hàng","HCT-360x300x185mm-NO","Hộp carton 360x300x185mm - Thương hiệu: Không có thương hiệu","Sử dụng cho: DP02S150 | DP03S150","360x300x185mm","Không có thương hiệu"
"HCT","(HCT) Hộp carton","Hộp carton","Mua hàng","HCT-360x460x185mm-HK","Hộp carton 360x460x185mm - Thương hiệu: HKLED","Sử dụng cho: DP02S200 | DP02S250 | DP03S200 | DP03S250","360x460x185mm","HKLED"
"HCT","(HCT) Hộp carton","Hộp carton","Mua hàng","HCT-360x460x185mm-NO","Hộp carton 360x460x185mm - Thương hiệu: Không có thương hiệu","Sử dụng cho: DP02S200 | DP02S250 | DP03S200 | DP03S250","360x460x185mm","Không có thương hiệu"
"HCT","(HCT) Hộp carton","Hộp carton","Mua hàng","HCT-360x580x185mm-HK","Hộp carton 360x580x185mm - Thương hiệu: HKLED","Sử dụng cho: DP02S300 | DP03S300","360x580x185mm","HKLED"
"HCT","(HCT) Hộp carton","Hộp carton","Mua hàng","HCT-360x580x185mm-NO","Hộp carton 360x580x185mm - Thương hiệu: Không có thương hiệu","Sử dụng cho: DP02S300 | DP03S300","360x580x185mm","Không có thương hiệu"
"HCT","(HCT) Hộp carton","Hộp carton","Mua hàng","HCT-375x375x400mm-HK","Hộp carton 375x375x400mm - Thương hiệu: HKLED","Sử dụng cho: DXHBC250 | DXHBC300 | DXHBC350 | DXHBC400","375x375x400mm","HKLED"
"HCT","(HCT) Hộp carton","Hộp carton","Mua hàng","HCT-375x375x400mm-NO","Hộp carton 375x375x400mm - Thương hiệu: Không có thương hiệu","Sử dụng cho: DXHBC250 | DXHBC300 | DXHBC350 | DXHBC400","375x375x400mm","Không có thương hiệu"
"HCT","(HCT) Hộp carton","Hộp carton","Mua hàng","HCT-400x400x160mm-HK","Hộp carton 400x400x160mm - Thương hiệu: HKLED","Sử dụng cho: DX01S150 | DX02S050 | DX02S100 | DX03S150 | DX03S200","400x400x160mm","HKLED"
