"Mã sản phẩm","Phương pháp bổ sung","Item Group","Tên sản phẩm","Mã biến thể","Tên biến thể","Công suất","Màu ánh sáng","Chip LED","Nguồn","Kiểu nguồn","Loại tản nhiệt","Kiểu lắp"
"DP01S","Sản xuất","Đèn LED pha P01 SMD (Khung xám)","Đèn LED pha P01 SMD (Khung xám)","DP01S050-6B3HN-AD","Đèn LED pha P01 SMD (Khung xám) 50W | Trắng (6.000K - 6.500K), Bridgelux 3030, HKLED Nhỏ | Nhôm đùn trắng, Dọc","50","Trắng (6.000K - 6.500K)","Bridgelux 3030","HKLED Nhỏ","Nguồn nhỏ","Nhôm đùn trắng","Dọc"
"DP01S","Sản xuất","Đèn LED pha P01 SMD (Khung xám)","Đèn LED pha P01 SMD (Khung xám)","DP01S050-5B3HN-AD","Đèn LED pha P01 SMD (Khung xám) 50W | Trắng (5.000K), Bridgelux 3030, HKLED Nhỏ | Nhôm đùn trắng, Dọc","50","Trắng (5.000K)","Bridgelux 3030","HKLED Nhỏ","Nguồn nhỏ","Nhôm đùn trắng","Dọc"
"DP01S","Sản xuất","Đèn LED pha P01 SMD (Khung xám)","Đèn LED pha P01 SMD (Khung xám)","DP01S050-4B3HN-AD","Đèn LED pha P01 SMD (Khung xám) 50W | Trung tính (4.000K - 4.200K), Bridgelux 3030, HKLED Nhỏ | Nhôm đùn trắng, Dọc","50","Trung tính (4.000K - 4.200K)","Bridgelux 3030","HKLED Nhỏ","Nguồn nhỏ","Nhôm đùn trắng","Dọc"
"DP01S","Sản xuất","Đèn LED pha P01 SMD (Khung xám)","Đèn LED pha P01 SMD (Khung xám)","DP01S050-3B3HN-AD","Đèn LED pha P01 SMD (Khung xám) 50W | Vàng (3.000K - 3.200K), Bridgelux 3030, HKLED Nhỏ | Nhôm đùn trắng, Dọc","50","Vàng (3.000K - 3.200K)","Bridgelux 3030","HKLED Nhỏ","Nguồn nhỏ","Nhôm đùn trắng","Dọc"
"DP01S","Sản xuất","Đèn LED pha P01 SMD (Khung xám)","Đèn LED pha P01 SMD (Khung xám)","DP01S050-6B5HN-AD","Đèn LED pha P01 SMD (Khung xám) 50W | Trắng (6.000K - 6.500K), Bridgelux 5050, HKLED Nhỏ | Nhôm đùn trắng, Dọc","50","Trắng (6.000K - 6.500K)","Bridgelux 5050","HKLED Nhỏ","Nguồn nhỏ","Nhôm đùn trắng","Dọc"
"DP01S","Sản xuất","Đèn LED pha P01 SMD (Khung xám)","Đèn LED pha P01 SMD (Khung xám)","DP01S050-5B5HN-AD","Đèn LED pha P01 SMD (Khung xám) 50W | Trắng (5.000K), Bridgelux 5050, HKLED Nhỏ | Nhôm đùn trắng, Dọc","50","Trắng (5.000K)","Bridgelux 5050","HKLED Nhỏ","Nguồn nhỏ","Nhôm đùn trắng","Dọc"
"DP01S","Sản xuất","Đèn LED pha P01 SMD (Khung xám)","Đèn LED pha P01 SMD (Khung xám)","DP01S050-4B5HN-AD","Đèn LED pha P01 SMD (Khung xám) 50W | Trung tính (4.000K - 4.200K), Bridgelux 5050, HKLED Nhỏ | Nhôm đùn trắng, Dọc","50","Trung tính (4.000K - 4.200K)","Bridgelux 5050","HKLED Nhỏ","Nguồn nhỏ","Nhôm đùn trắng","Dọc"
"DP01S","Sản xuất","Đèn LED pha P01 SMD (Khung xám)","Đèn LED pha P01 SMD (Khung xám)","DP01S050-3B5HN-AD","Đèn LED pha P01 SMD (Khung xám) 50W | Vàng (3.000K - 3.200K), Bridgelux 5050, HKLED Nhỏ | Nhôm đùn trắng, Dọc","50","Vàng (3.000K - 3.200K)","Bridgelux 5050","HKLED Nhỏ","Nguồn nhỏ","Nhôm đùn trắng","Dọc"
"DP01S","Sản xuất","Đèn LED pha P01 SMD (Khung xám)","Đèn LED pha P01 SMD (Khung xám)","DP01S050-6P3HN-AD","Đèn LED pha P01 SMD (Khung xám) 50W | Trắng (6.000K - 6.500K), Lumileds 3030, HKLED Nhỏ | Nhôm đùn trắng, Dọc","50","Trắng (6.000K - 6.500K)","Lumileds 3030","HKLED Nhỏ","Nguồn nhỏ","Nhôm đùn trắng","Dọc"
"DP01S","Sản xuất","Đèn LED pha P01 SMD (Khung xám)","Đèn LED pha P01 SMD (Khung xám)","DP01S050-5P3HN-AD","Đèn LED pha P01 SMD (Khung xám) 50W | Trắng (5.000K), Lumileds 3030, HKLED Nhỏ | Nhôm đùn trắng, Dọc","50","Trắng (5.000K)","Lumileds 3030","HKLED Nhỏ","Nguồn nhỏ","Nhôm đùn trắng","Dọc"
