"Mã sản phẩm","Phương pháp bổ sung","Item Group","Tên sản phẩm","Mã biến thể","Tên biến thể","Công suất","Màu ánh sáng","Chip LED","Nguồn","Kiểu nguồn","Phân loại vỏ"
"DPTCC","Sản xuất","Đèn LED pha tròn PTC Chip LED COB","Đèn LED pha tròn PTC Chip LED COB","DPTCC050-6B3HN","Đèn LED pha tròn PTC Chip LED COB 50W | Trắng (6.000K - 6.500K), Bridgelux 3030, HKLED Nhỏ","50","Trắng (6.000K - 6.500K)","Bridgelux 3030","HKLED Nhỏ","Nguồn nhỏ",""
"DPTCC","Sản xuất","Đèn LED pha tròn PTC Chip LED COB","Đèn LED pha tròn PTC Chip LED COB","DPTCC050-5B3HN","Đèn LED pha tròn PTC Chip LED COB 50W | Trắng (5.000K), Bridgelux 3030, HKLED Nhỏ","50","Trắng (5.000K)","Bridgelux 3030","HKLED Nhỏ","Nguồn nhỏ",""
"DPTCC","Sản xuất","Đèn LED pha tròn PTC Chip LED COB","Đèn LED pha tròn PTC Chip LED COB","DPTCC050-4B3HN","Đèn LED pha tròn PTC Chip LED COB 50W | Trung tính (4.000K - 4.200K), Bridgelux 3030, HKLED Nhỏ","50","Trung tính (4.000K - 4.200K)","Bridgelux 3030","HKLED Nhỏ","Nguồn nhỏ",""
"DPTCC","Sản xuất","Đèn LED pha tròn PTC Chip LED COB","Đèn LED pha tròn PTC Chip LED COB","DPTCC050-3B3HN","Đèn LED pha tròn PTC Chip LED COB 50W | Vàng (3.000K - 3.200K), Bridgelux 3030, HKLED Nhỏ","50","Vàng (3.000K - 3.200K)","Bridgelux 3030","HKLED Nhỏ","Nguồn nhỏ",""
"DPTCC","Sản xuất","Đèn LED pha tròn PTC Chip LED COB","Đèn LED pha tròn PTC Chip LED COB","DPTCC050-6B3HT","Đèn LED pha tròn PTC Chip LED COB 50W | Trắng (6.000K - 6.500K), Bridgelux 3030, HKLED Dim 1 Cấp","50","Trắng (6.000K - 6.500K)","Bridgelux 3030","HKLED Dim 1 Cấp","Nguồn to",""
"DPTCC","Sản xuất","Đèn LED pha tròn PTC Chip LED COB","Đèn LED pha tròn PTC Chip LED COB","DPTCC050-5B3HT","Đèn LED pha tròn PTC Chip LED COB 50W | Trắng (5.000K), Bridgelux 3030, HKLED Dim 1 Cấp","50","Trắng (5.000K)","Bridgelux 3030","HKLED Dim 1 Cấp","Nguồn to",""
"DPTCC","Sản xuất","Đèn LED pha tròn PTC Chip LED COB","Đèn LED pha tròn PTC Chip LED COB","DPTCC050-4B3HT","Đèn LED pha tròn PTC Chip LED COB 50W | Trung tính (4.000K - 4.200K), Bridgelux 3030, HKLED Dim 1 Cấp","50","Trung tính (4.000K - 4.200K)","Bridgelux 3030","HKLED Dim 1 Cấp","Nguồn to",""
"DPTCC","Sản xuất","Đèn LED pha tròn PTC Chip LED COB","Đèn LED pha tròn PTC Chip LED COB","DPTCC050-3B3HT","Đèn LED pha tròn PTC Chip LED COB 50W | Vàng (3.000K - 3.200K), Bridgelux 3030, HKLED Dim 1 Cấp","50","Vàng (3.000K - 3.200K)","Bridgelux 3030","HKLED Dim 1 Cấp","Nguồn to",""
"DPTCC","Sản xuất","Đèn LED pha tròn PTC Chip LED COB","Đèn LED pha tròn PTC Chip LED COB","DPTCC050-6B3HD","Đèn LED pha tròn PTC Chip LED COB 50W | Trắng (6.000K - 6.500K), Bridgelux 3030, HKLED Dim 5 Cấp","50","Trắng (6.000K - 6.500K)","Bridgelux 3030","HKLED Dim 5 Cấp","Nguồn to",""
"DPTCC","Sản xuất","Đèn LED pha tròn PTC Chip LED COB","Đèn LED pha tròn PTC Chip LED COB","DPTCC050-5B3HD","Đèn LED pha tròn PTC Chip LED COB 50W | Trắng (5.000K), Bridgelux 3030, HKLED Dim 5 Cấp","50","Trắng (5.000K)","Bridgelux 3030","HKLED Dim 5 Cấp","Nguồn to",""
