"Mã sản phẩm","Phương pháp bổ sung","Item Group","Tên sản phẩm","Mã biến thể","Tên biến thể","Công suất","Màu ánh sáng","Chip LED","Nguồn","Kiểu nguồn","Phân loại vỏ","Chóa"
"DX01S","Sản xuất","Đèn LED nhà xưởng UFO X01 Chip LED SMD","Đèn LED nhà xưởng UFO X01 Chip LED SMD","DX01S050-6B3HN","Đèn LED nhà xưởng UFO X01 Chip LED SMD 50W | Trắng (6.000K - 6.500K), Bridgelux 3030, HKLED Nhỏ","50","Trắng (6.000K - 6.500K)","Bridgelux 3030","HKLED Nhỏ","Nguồn nhỏ","Nguồn hộp","Không chóa"
"DX01S","Sản xuất","Đèn LED nhà xưởng UFO X01 Chip LED SMD","Đèn LED nhà xưởng UFO X01 Chip LED SMD","DX01S050-5B3HN","Đèn LED nhà xưởng UFO X01 Chip LED SMD 50W | Trắng (5.000K), Bridgelux 3030, HKLED Nhỏ","50","Trắng (5.000K)","Bridgelux 3030","HKLED Nhỏ","Nguồn nhỏ","Nguồn hộp","Không chóa"
"DX01S","Sản xuất","Đèn LED nhà xưởng UFO X01 Chip LED SMD","Đèn LED nhà xưởng UFO X01 Chip LED SMD","DX01S050-4B3HN","Đèn LED nhà xưởng UFO X01 Chip LED SMD 50W | Trung tính (4.000K - 4.200K), Bridgelux 3030, HKLED Nhỏ","50","Trung tính (4.000K - 4.200K)","Bridgelux 3030","HKLED Nhỏ","Nguồn nhỏ","Nguồn hộp","Không chóa"
"DX01S","Sản xuất","Đèn LED nhà xưởng UFO X01 Chip LED SMD","Đèn LED nhà xưởng UFO X01 Chip LED SMD","DX01S050-3B3HN","Đèn LED nhà xưởng UFO X01 Chip LED SMD 50W | Vàng (3.000K - 3.200K), Bridgelux 3030, HKLED Nhỏ","50","Vàng (3.000K - 3.200K)","Bridgelux 3030","HKLED Nhỏ","Nguồn nhỏ","Nguồn hộp","Không chóa"
"DX01S","Sản xuất","Đèn LED nhà xưởng UFO X01 Chip LED SMD","Đèn LED nhà xưởng UFO X01 Chip LED SMD","DX01S050-6B3HT","Đèn LED nhà xưởng UFO X01 Chip LED SMD 50W | Trắng (6.000K - 6.500K), Bridgelux 3030, HKLED Dim 1 Cấp","50","Trắng (6.000K - 6.500K)","Bridgelux 3030","HKLED Dim 1 Cấp","Nguồn to","Nguồn hộp","Không chóa"
"DX01S","Sản xuất","Đèn LED nhà xưởng UFO X01 Chip LED SMD","Đèn LED nhà xưởng UFO X01 Chip LED SMD","DX01S050-5B3HT","Đèn LED nhà xưởng UFO X01 Chip LED SMD 50W | Trắng (5.000K), Bridgelux 3030, HKLED Dim 1 Cấp","50","Trắng (5.000K)","Bridgelux 3030","HKLED Dim 1 Cấp","Nguồn to","Nguồn hộp","Không chóa"
"DX01S","Sản xuất","Đèn LED nhà xưởng UFO X01 Chip LED SMD","Đèn LED nhà xưởng UFO X01 Chip LED SMD","DX01S050-4B3HT","Đèn LED nhà xưởng UFO X01 Chip LED SMD 50W | Trung tính (4.000K - 4.200K), Bridgelux 3030, HKLED Dim 1 Cấp","50","Trung tính (4.000K - 4.200K)","Bridgelux 3030","HKLED Dim 1 Cấp","Nguồn to","Nguồn hộp","Không chóa"
"DX01S","Sản xuất","Đèn LED nhà xưởng UFO X01 Chip LED SMD","Đèn LED nhà xưởng UFO X01 Chip LED SMD","DX01S050-3B3HT","Đèn LED nhà xưởng UFO X01 Chip LED SMD 50W | Vàng (3.000K - 3.200K), Bridgelux 3030, HKLED Dim 1 Cấp","50","Vàng (3.000K - 3.200K)","Bridgelux 3030","HKLED Dim 1 Cấp","Nguồn to","Nguồn hộp","Không chóa"
"DX01S","Sản xuất","Đèn LED nhà xưởng UFO X01 Chip LED SMD","Đèn LED nhà xưởng UFO X01 Chip LED SMD","DX01S050-6B3HD","Đèn LED nhà xưởng UFO X01 Chip LED SMD 50W | Trắng (6.000K - 6.500K), Bridgelux 3030, HKLED Dim 5 Cấp","50","Trắng (6.000K - 6.500K)","Bridgelux 3030","HKLED Dim 5 Cấp","Nguồn to","Nguồn hộp","Không chóa"
"DX01S","Sản xuất","Đèn LED nhà xưởng UFO X01 Chip LED SMD","Đèn LED nhà xưởng UFO X01 Chip LED SMD","DX01S050-5B3HD","Đèn LED nhà xưởng UFO X01 Chip LED SMD 50W | Trắng (5.000K), Bridgelux 3030, HKLED Dim 5 Cấp","50","Trắng (5.000K)","Bridgelux 3030","HKLED Dim 5 Cấp","Nguồn to","Nguồn hộp","Không chóa"
